Rank,EntryId,EntryName,TimeRemaining,Points,Lineup,,Player,Roster Position,%Drafted,FPTS
1,5196389228,JRuppe,0,515.5,G Hideki Matsuyama G Corey Conners G Jordan L. Smith G Benjamin James G Rasmus Neergaard-Petersen G Ben Kohles,,Corey Conners,G,72.73%,78.5
2,5195423693,Werm-1,0,481,G Kurt Kitayama G Tom Kim G Corey Conners G Christiaan Bezuidenhout G Taylor Pendrith G Zac Blair,,Benjamin James,G,45.45%,31
3,5195954404,Johns59,0,470,G Maverick McNealy G Tom Kim G Gary Woodland G Sudarshan Yellamaraju G Brian Harman G Harry Higgs,,Tom Kim,G,36.36%,88.5
4,5196411232,slewis0060,0,445,G Hideki Matsuyama G Corey Conners G Max Homa G Aldrich Potgieter G Casey Jarvis G Ben Kohles,,Christiaan Bezuidenhout,G,36.36%,93
5,5195502691,Derek05,0,410.5,G Keith Mitchell G Jackson Koivun G Jackson Suber G Benjamin James G Rasmus Neergaard-Petersen G David Skinns,,Hideki Matsuyama,G,27.27%,126.5
6,5195675132,miller1017,0,405,G Tom Kim G Jackson Suber G Corey Conners G Sungjae Im G Casey Jarvis G Ben Kohles,,Jackson Suber,G,27.27%,30.5
7,5195538932,mtlomax,0,398.5,G Hideki Matsuyama G Corey Conners G Mac Meissner G Benjamin James G Christiaan Bezuidenhout G Stephan Jaeger,,Rasmus Neergaard-Petersen,G,27.27%,96
8,5196712541,budman4423,0,383.5,G Tom Kim G Corey Conners G Sam Stevens G Tony Finau G Christiaan Bezuidenhout G Rasmus H?jgaard,,Ben Kohles,G,27.27%,103.5
9,5196019787,leonardslossers,0,357,G Kurt Kitayama G Jackson Suber G Corey Conners G Benjamin James G Rasmus Neergaard-Petersen G Tom Hoge,,Maverick McNealy,G,18.18%,87
10,5195874710,oneputtralphie,0,352,G Jake Knapp G Pierceson Coody G Corey Conners G Benjamin James G Christiaan Bezuidenhout G Tom Hoge,,Kurt Kitayama,G,18.18%,94
11,5196095942,mkpoe,0,284.5,G Maverick McNealy G Sam Stevens G Tony Finau G Sudarshan Yellamaraju G Aldrich Potgieter G Stephan Jaeger,,Sam Stevens,G,18.18%,65
,,,,,,,Tony Finau,G,18.18%,28
,,,,,,,Sudarshan Yellamaraju,G,18.18%,33
,,,,,,,Aldrich Potgieter,G,18.18%,38
,,,,,,,Stephan Jaeger,G,18.18%,33.5
,,,,,,,Casey Jarvis,G,18.18%,77.5
,,,,,,,Tom Hoge,G,18.18%,27
,,,,,,,Keith Mitchell,G,9.09%,74.5
,,,,,,,Jake Knapp,G,9.09%,100
,,,,,,,Jackson Koivun,G,9.09%,155
,,,,,,,Pierceson Coody,G,9.09%,22.5
,,,,,,,Gary Woodland,G,9.09%,104
,,,,,,,Max Homa,G,9.09%,21
,,,,,,,Sungjae Im,G,9.09%,26.5
,,,,,,,Jordan L. Smith,G,9.09%,80
,,,,,,,Mac Meissner,G,9.09%,36
,,,,,,,Rasmus H?jgaard,G,9.09%,30.5
,,,,,,,Brian Harman,G,9.09%,121
,,,,,,,Taylor Pendrith,G,9.09%,24
,,,,,,,Zac Blair,G,9.09%,103
,,,,,,,David Skinns,G,9.09%,23.5
,,,,,,,Harry Higgs,G,9.09%,36.5
