Rank,EntryId,EntryName,TimeRemaining,Points,Lineup,,Player,Roster Position,%Drafted,FPTS
1,5224268385,oneputtralphie,0,523,G Chris Gotterup G Wyndham Clark G Jake Knapp G Kurt Kitayama G Rickie Fowler G Michael Brennan,,Scottie Scheffler,G,38.46%,84.5
2,5221766834,miller1017,0,481,G Si Woo Kim G Hideki Matsuyama G Wyndham Clark G Tom Kim G Ryan Gerard G Jacob Bridgeman,,Tom Kim,G,38.46%,68.5
3,5223947118,budman4423,0,465,G Cameron Young G Hideki Matsuyama G Patrick Cantlay G Maverick McNealy G Kurt Kitayama G Min Woo Lee,,Alex Noren,G,30.77%,59
4,5224259250,Johns59,0,462.5,G Scottie Scheffler G Chris Gotterup G Rickie Fowler G Gary Woodland G Alex Fitzpatrick G Sahith Theegala,,Hideki Matsuyama,G,30.77%,63.5
5,5223358098,slewis0060,0,458,G Scottie Scheffler G Tom Kim G Ryan Gerard G Sungjae Im G J.T. Poston G Ryo Hisatsune,,Sungjae Im,G,30.77%,79
6,5224011010,Derek05,0,456.5,G Sam Burns G Si Woo Kim G Patrick Cantlay G Tom Kim G Sungjae Im G Alex Noren,,Adam Scott,G,23.08%,68
7,5221721358,Mattyf0422,0,442,G Scottie Scheffler G Michael Thorbjornsen G Adam Scott G Alex Noren G Justin Rose G Gary Woodland,,Gary Woodland,G,23.08%,97
8,5223948438,Werm-1,0,431.5,G Tommy Fleetwood G Collin Morikawa G Russell Henley G Tom Kim G Adam Scott G Alex Fitzpatrick,,Si Woo Kim,G,23.08%,61.5
9,5224544028,fer21gie,0,413.5,G Xander Schauffele G Ludvig ?berg G Si Woo Kim G Michael Thorbjornsen G Sungjae Im G Alex Smalley,,Jacob Bridgeman,G,23.08%,84
10,5223952587,mtlomax,0,412,G Scottie Scheffler G Hideki Matsuyama G Adam Scott G Jacob Bridgeman G Alex Fitzpatrick G Ryan Fox,,Rickie Fowler,G,23.08%,67.5
11,5222388630,leonardslossers,0,411,G Scottie Scheffler G Tom Kim G Rickie Fowler G Sungjae Im G Alex Noren G Nicolas Echavarria,,Tommy Fleetwood,G,23.08%,54
12,5223718253,JRuppe,0,402,G Tommy Fleetwood G Xander Schauffele G Hideki Matsuyama G Jacob Bridgeman G Alex Smalley G Nicolai H?jgaard,,Alex Fitzpatrick,G,23.08%,55
13,5222883603,mkpoe,0,400.5,G Tommy Fleetwood G Sam Burns G Alex Noren G Justin Rose G Gary Woodland G Bud Cauley,,Michael Thorbjornsen,G,15.38%,65
,,,,,,,Justin Rose,G,15.38%,68.5
,,,,,,,Wyndham Clark,G,15.38%,132.5
,,,,,,,Ryan Gerard,G,15.38%,71
,,,,,,,Sam Burns,G,15.38%,66.5
,,,,,,,Xander Schauffele,G,15.38%,72
,,,,,,,Alex Smalley,G,15.38%,66.5
,,,,,,,Patrick Cantlay,G,15.38%,122
,,,,,,,Kurt Kitayama,G,15.38%,66
,,,,,,,Chris Gotterup,G,15.38%,103.5
,,,,,,,Nicolas Echavarria,G,7.69%,52.5
,,,,,,,Bud Cauley,G,7.69%,55.5
,,,,,,,J.T. Poston,G,7.69%,69.5
,,,,,,,Ryo Hisatsune,G,7.69%,85.5
,,,,,,,Nicolai H?jgaard,G,7.69%,62
,,,,,,,Cameron Young,G,7.69%,62
,,,,,,,Maverick McNealy,G,7.69%,94.5
,,,,,,,Min Woo Lee,G,7.69%,57
,,,,,,,Collin Morikawa,G,7.69%,106.5
,,,,,,,Russell Henley,G,7.69%,79.5
,,,,,,,Ryan Fox,G,7.69%,57
,,,,,,,Sahith Theegala,G,7.69%,55
,,,,,,,Jake Knapp,G,7.69%,68
,,,,,,,Michael Brennan,G,7.69%,85.5
,,,,,,,Ludvig ?berg,G,7.69%,69.5
