Rank,EntryId,EntryName,TimeRemaining,Points,Lineup,,Player,Roster Position,%Drafted,FPTS
1,5189054128,mtlomax,0,405.5,G Rory McIlroy G Cameron Young G Wyndham Clark G Russell Henley G Marco Penge G Kristoffer Reitan,,Matt Fitzpatrick,G,56.25%,22
2,5190952766,budman4423,0,395.5,G Jon Rahm G Cameron Young G Tyrrell Hatton G Robert MacIntyre G Justin Thomas G Hideki Matsuyama,,Robert MacIntyre,G,43.75%,63
3,5189490239,JRuppe,0,356,G Tommy Fleetwood G Chris Gotterup G Viktor Hovland G Robert MacIntyre G Sam Burns G Tom Kim,,Tom Kim,G,43.75%,22.5
4,5189974816,btweed1683,0,350.5,G Matt Fitzpatrick G Cameron Young G Chris Gotterup G Viktor Hovland G Russell Henley G Rickie Fowler,,Chris Gotterup,G,31.25%,67
5,5188763665,Mattyf0422,0,346.5,G Tommy Fleetwood G Matt Fitzpatrick G Robert MacIntyre G Russell Henley G Si Woo Kim G Tom Kim,,Rory McIlroy,G,25.00%,66
6,5190964644,trentdehate,0,330,G Matt Fitzpatrick G Collin Morikawa G Wyndham Clark G Shane Lowry G Sam Burns G Alex Fitzpatrick,,Tommy Fleetwood,G,25.00%,88
7,5190949974,Werm-1,0,323.5,G Rory McIlroy G Ludvig Aberg G Justin Rose G Tom Kim G Adam Scott G Matt Wallace,,Cameron Young,G,25.00%,96.5
8,5190971610,oneputtralphie,0,314.5,G Scottie Scheffler G Matt Fitzpatrick G Patrick Reed G Tom Kim G Brian Harman G Ryan Fox,,Wyndham Clark,G,25.00%,33.5
9,5189450889,leonardslossers,0,313,G Tommy Fleetwood G Matt Fitzpatrick G Chris Gotterup G Patrick Reed G Min Woo Lee G Tom Kim,,Tyrrell Hatton,G,18.75%,46.5
10,5189071336,Derek05,0,311.5,G Rory McIlroy G Matt Fitzpatrick G Robert MacIntyre G Patrick Reed G Si Woo Kim G Keith Mitchell,,Russell Henley,G,18.75%,74.5
11,5188817440,miller1017,0,292,G Matt Fitzpatrick G Cameron Young G Wyndham Clark G Robert MacIntyre G Justin Thomas G Joaquin Niemann,,Justin Thomas,G,18.75%,58
12,5190210051,slewis0060,0,285.5,G Rory McIlroy G Xander Schauffele G Chris Gotterup G Alex Fitzpatrick G Gary Woodland G Keith Mitchell,,Patrick Reed,G,18.75%,61
13,5189530754,mkpoe,0,285,G Tommy Fleetwood G Matt Fitzpatrick G Hideki Matsuyama G J.J. Spaun G Brian Harman G Nicolai Hojgaard,,Scottie Scheffler,G,12.50%,81.5
14,5189747448,fertown,0,284.5,G Matt Fitzpatrick G Tyrrell Hatton G Collin Morikawa G Robert MacIntyre G Justin Thomas G Tom Kim,,Xander Schauffele,G,12.50%,64
15,5190959286,fer21gie,0,277.5,G Xander Schauffele G Tyrrell Hatton G Chris Gotterup G Robert MacIntyre G Joaquin Niemann G Jordan Spieth,,Justin Rose,G,12.50%,24.5
16,5190135553,Johns59,0,243,G Scottie Scheffler G Justin Rose G Wyndham Clark G Tom Kim G Kurt Kitayama G Sam Stevens,,Collin Morikawa,G,12.50%,72.5
,,,,,,,Viktor Hovland,G,12.50%,23.5
,,,,,,,Sam Burns,G,12.50%,92
,,,,,,,Alex Fitzpatrick,G,12.50%,44
,,,,,,,Joaquin Niemann,G,12.50%,19
,,,,,,,Hideki Matsuyama,G,12.50%,69
,,,,,,,Si Woo Kim,G,12.50%,76.5
,,,,,,,Brian Harman,G,12.50%,17
,,,,,,,Keith Mitchell,G,12.50%,23
,,,,,,,Jon Rahm,G,6.25%,62.5
,,,,,,,Ludvig Aberg,G,6.25%,71.5
,,,,,,,Shane Lowry,G,6.25%,66
,,,,,,,Jordan Spieth,G,6.25%,18
,,,,,,,Min Woo Lee,G,6.25%,52.5
,,,,,,,Marco Penge,G,6.25%,70.5
,,,,,,,J.J. Spaun,G,6.25%,60
,,,,,,,Nicolai Hojgaard,G,6.25%,29
,,,,,,,Kurt Kitayama,G,6.25%,59
,,,,,,,Kristoffer Reitan,G,6.25%,64.5
,,,,,,,Rickie Fowler,G,6.25%,67
,,,,,,,Adam Scott,G,6.25%,78.5
,,,,,,,Ryan Fox,G,6.25%,110.5
,,,,,,,Gary Woodland,G,6.25%,21.5
,,,,,,,Matt Wallace,G,6.25%,60.5
,,,,,,,Sam Stevens,G,6.25%,22
