Rank,EntryId,EntryName,TimeRemaining,Points,Lineup,,Player,Roster Position,%Drafted,FPTS
1,5125671966,leonardslossers,0,523.5,G Cameron Young G Adam Scott G Jacob Bridgeman G Akshay Bhatia G Sahith Theegala G Gary Woodland,,Adam Scott,G,42.86%,102.5
2,5125253579,Mattyf0422,0,514.5,G Scottie Scheffler G Adam Scott G Gary Woodland G Sam Stevens G Alex Smalley G Jhonattan Vegas,,Jacob Bridgeman,G,42.86%,59
3,5127462214,mkpoe,0,508,G Cameron Young G Hideki Matsuyama G Sepp Straka G Nicolai Hojgaard G Sahith Theegala G Pierceson Coody,,Cameron Young,G,35.71%,124
4,5127830653,Jason.Elliott,0,506.5,G Scottie Scheffler G Kurt Kitayama G Keith Mitchell G Alex Smalley G Sudarshan Yellamaraju G Corey Conners,,Hideki Matsuyama,G,28.57%,66
5,5126534025,budman4423,0,496.5,G Chris Gotterup G Adam Scott G Jacob Bridgeman G Rickie Fowler G Ben Griffin G Kurt Kitayama,,Akshay Bhatia,G,28.57%,84
6,5125492178,miller1017,0,491,G Cameron Young G Hideki Matsuyama G Jacob Bridgeman G Akshay Bhatia G Gary Woodland G Sudarshan Yellamaraju,,Sudarshan Yellamaraju,G,28.57%,81
7,5125870599,btweed1683,0,490.5,G Si Woo Kim G Min Woo Lee G Harris English G Akshay Bhatia G Sepp Straka G Jason Day,,Sahith Theegala,G,28.57%,77
8,5125923235,mtlomax,0,487,G Scottie Scheffler G Adam Scott G Nicolai Hojgaard G Ricky Castillo G Alex Fitzpatrick G Patrick Rodgers,,Scottie Scheffler,G,21.43%,103.5
9,5127616530,JRuppe,0,484.5,G Tommy Fleetwood G Hideki Matsuyama G Adam Scott G Jordan Spieth G Sahith Theegala G Corey Conners,,Gary Woodland,G,21.43%,77
10,5127154753,oneputtralphie,0,483.5,G Tommy Fleetwood G Adam Scott G Jacob Bridgeman G Akshay Bhatia G Rickie Fowler G Pierceson Coody,,Nicolai Hojgaard,G,21.43%,74
11,5126536446,Werm-1,0,437.5,G Collin Morikawa G Jacob Bridgeman G Rickie Fowler G Nicolai Hojgaard G Shane Lowry G Sam Stevens,,Rickie Fowler,G,21.43%,86
12,5127201489,Derek05,0,426,G Cameron Young G Jake Knapp G Chris Gotterup G Sahith Theegala G Sudarshan Yellamaraju G Andrew Putnam,,Tommy Fleetwood,G,21.43%,79.5
13,5127688896,Johns59,0,420,G Tommy Fleetwood G Sam Burns G Harris English G Jacob Bridgeman G Ryo Hisatsune G Sudarshan Yellamaraju,,Pierceson Coody,G,21.43%,72.5
14,5127778810,Freeannyong,0,401,G Cameron Young G Jake Knapp G Hideki Matsuyama G Keegan Bradley G Pierceson Coody G Max Homa,,Sam Stevens,G,14.29%,82
,,,,,,,Alex Smalley,G,14.29%,86
,,,,,,,Harris English,G,14.29%,68
,,,,,,,Sepp Straka,G,14.29%,94.5
,,,,,,,Chris Gotterup,G,14.29%,66
,,,,,,,Kurt Kitayama,G,14.29%,84.5
,,,,,,,Jake Knapp,G,14.29%,0
,,,,,,,Corey Conners,G,14.29%,78
,,,,,,,Jhonattan Vegas,G,7.14%,63.5
,,,,,,,Si Woo Kim,G,7.14%,96.5
,,,,,,,Min Woo Lee,G,7.14%,71
,,,,,,,Jason Day,G,7.14%,76.5
,,,,,,,Ricky Castillo,G,7.14%,63.5
,,,,,,,Alex Fitzpatrick,G,7.14%,88
,,,,,,,Patrick Rodgers,G,7.14%,55.5
,,,,,,,Ben Griffin,G,7.14%,98.5
,,,,,,,Collin Morikawa,G,7.14%,57.5
,,,,,,,Shane Lowry,G,7.14%,79
,,,,,,,Andrew Putnam,G,7.14%,78
,,,,,,,Jordan Spieth,G,7.14%,81.5
,,,,,,,Sam Burns,G,7.14%,73
,,,,,,,Ryo Hisatsune,G,7.14%,59.5
,,,,,,,Keegan Bradley,G,7.14%,62
,,,,,,,Max Homa,G,7.14%,76.5
,,,,,,,Keith Mitchell,G,7.14%,73.5
