Rank,EntryId,EntryName,TimeRemaining,Points,Lineup,,Player,Roster Position,%Drafted,FPTS
1,5152251056,oneputtralphie,0,381,G Ludvig Aberg G Alex Smalley G Brian Harman G Tony Finau G Tom Kim G Patrick Rodgers,,Hideki Matsuyama,G,55.56%,71
2,5150692151,budman4423,0,358,G Robert MacIntyre G Justin Thomas G Ryo Hisatsune G Sahith Theegala G Tom Kim G Takumi Kanaya,,Tony Finau,G,55.56%,27
3,5151466576,Werm-1,0,345.5,G Rickie Fowler G Hideki Matsuyama G Alex Smalley G Tony Finau G Ricky Castillo G Tom Hoge,,Alex Smalley,G,44.44%,98.5
4,5151465728,JRuppe,0,324,G Hideki Matsuyama G Alex Smalley G Ryo Hisatsune G Sahith Theegala G Tony Finau G John Parry,,Max Greyserman,G,33.33%,20.5
5,5150199978,miller1017,0,293.5,G Hideki Matsuyama G Gary Woodland G Sungjae Im G Max Greyserman G Matthew McCarty G Tony Finau,,Ludvig Aberg,G,33.33%,72.5
6,5150895089,leonardslossers,0,293,G Ludvig Aberg G Alex Smalley G Max Greyserman G Taylor Moore G Stephan Jaeger G Sudarshan Yellamaraju,,Rickie Fowler,G,33.33%,28
7,5152107938,Johns59,0,291.5,G Rickie Fowler G Hideki Matsuyama G Ryo Hisatsune G Ryan Gerard G Sudarshan Yellamaraju G John Parry,,Ryo Hisatsune,G,33.33%,56
8,5150389746,Derek05,0,290.5,G Ludvig Aberg G Justin Thomas G Rickie Fowler G Sam Ryder G Jackson Suber G Hayden Springer,,Sahith Theegala,G,33.33%,57
9,5151332556,mkpoe,0,265.5,G Hideki Matsuyama G Pierceson Coody G Sungjae Im G Sahith Theegala G Max Greyserman G Tony Finau,,Sungjae Im,G,22.22%,18.5
,,,,,,,Justin Thomas,G,22.22%,79
,,,,,,,Tom Kim,G,22.22%,56
,,,,,,,Sudarshan Yellamaraju,G,22.22%,36.5
,,,,,,,John Parry,G,22.22%,14.5
,,,,,,,Gary Woodland,G,11.11%,99
,,,,,,,Matthew McCarty,G,11.11%,57.5
,,,,,,,Sam Ryder,G,11.11%,29
,,,,,,,Jackson Suber,G,11.11%,60
,,,,,,,Hayden Springer,G,11.11%,22
,,,,,,,Robert MacIntyre,G,11.11%,57.5
,,,,,,,Takumi Kanaya,G,11.11%,52.5
,,,,,,,Taylor Moore,G,11.11%,56
,,,,,,,Stephan Jaeger,G,11.11%,9
,,,,,,,Pierceson Coody,G,11.11%,71.5
,,,,,,,Ricky Castillo,G,11.11%,60.5
,,,,,,,Tom Hoge,G,11.11%,60.5
,,,,,,,Ryan Gerard,G,11.11%,85.5
,,,,,,,Brian Harman,G,11.11%,72.5
,,,,,,,Patrick Rodgers,G,11.11%,54.5
