Rank,EntryId,EntryName,TimeRemaining,Points,Lineup,,Player,Roster Position,%Drafted,FPTS
1,5145211796,mkpoe,0,604.5,G Brooks Koepka G Pierceson Coody G Max Greyserman G Hao-Tong Li G Stephan Jaeger G Tony Finau,,Jordan Spieth,G,46.15%,104.5
2,5146485306,budman4423,0,595.5,G Keith Mitchell G Wyndham Clark G Christiaan Bezuidenhout G Thorbjorn Olesen G Tom Kim G Stephan Jaeger,,Brooks Koepka,G,46.15%,109.5
3,5144784688,leonardslossers,0,585,G Jordan Spieth G Ryo Hisatsune G Max Greyserman G Stephan Jaeger G Kevin Roy G Tom Hoge,,Tom Kim,G,46.15%,78
4,5145892345,oneputtralphie,0,525,G Jordan Spieth G Brooks Koepka G Tom Kim G Matti Schmid G Patrick Rodgers G Tony Finau,,Si Woo Kim,G,38.46%,143.5
5,5144207946,miller1017,0,513,G Si Woo Kim G Christiaan Bezuidenhout G Eric Cole G Blades Brown G Stephan Jaeger G Matti Schmid,,Christiaan Bezuidenhout,G,38.46%,37
6,5145463269,JRuppe,0,506,G Jordan Spieth G Ryo Hisatsune G Rasmus Hojgaard G Adrien Dumont De Chassart G John Parry G Tony Finau,,Stephan Jaeger,G,30.77%,115
7,5146451331,fer21gie,0,500,G Si Woo Kim G Jordan Spieth G Tom Kim G Blades Brown G Matti Schmid G Hayden Springer,,Ryo Hisatsune,G,23.08%,100
8,5144243765,Mattyf0422,0,494.5,G Si Woo Kim G Jordan Spieth G Brooks Koepka G Tom Kim G Adam Schenk G Davis Riley,,Kevin Roy,G,23.08%,22
9,5146382762,fertown,0,472.5,G Brooks Koepka G Ryo Hisatsune G Rasmus Hojgaard G Christiaan Bezuidenhout G Tom Kim G Yongjun Bae,,Matti Schmid,G,23.08%,31.5
10,5145992772,Derek05,0,454.5,G Si Woo Kim G Jordan Spieth G Brooks Koepka G Kevin Roy G Danny Walker G Paul Peterson,,Tony Finau,G,23.08%,119.5
11,5146519175,Werm-1,0,453.5,G Si Woo Kim G Brooks Koepka G Christiaan Bezuidenhout G Tom Kim G Carson Young G Hayden Springer,,Scottie Scheffler,G,15.38%,137.5
12,5146241524,Johns59,0,422.5,G Scottie Scheffler G Christiaan Bezuidenhout G John Parry G Zac Blair G Kevin Streelman G Yongjun Bae,,Rasmus Hojgaard,G,15.38%,75.5
13,5146047943,Jason.Elliott,0,401,G Scottie Scheffler G Kevin Roy G Mark Hubbard G Ben Kohles G Pontus Nyholm G Luke Clanton,,Max Greyserman,G,15.38%,118.5
,,,,,,,Blades Brown,G,15.38%,98
,,,,,,,John Parry,G,15.38%,75
,,,,,,,Hayden Springer,G,15.38%,44.5
,,,,,,,Yongjun Bae,G,15.38%,72.5
,,,,,,,Keith Mitchell,G,7.69%,125.5
,,,,,,,Pierceson Coody,G,7.69%,105
,,,,,,,Wyndham Clark,G,7.69%,166
,,,,,,,Eric Cole,G,7.69%,88
,,,,,,,Thorbjorn Olesen,G,7.69%,74
,,,,,,,Hao-Tong Li,G,7.69%,37
,,,,,,,Patrick Rodgers,G,7.69%,82
,,,,,,,Adrien Dumont De Chassart,G,7.69%,31.5
,,,,,,,Mark Hubbard,G,7.69%,90.5
,,,,,,,Ben Kohles,G,7.69%,27
,,,,,,,Carson Young,G,7.69%,41
,,,,,,,Zac Blair,G,7.69%,67
,,,,,,,Tom Hoge,G,7.69%,125
,,,,,,,Pontus Nyholm,G,7.69%,33.5
,,,,,,,Danny Walker,G,7.69%,40.5
,,,,,,,Luke Clanton,G,7.69%,90.5
,,,,,,,Paul Peterson,G,7.69%,34.5
,,,,,,,Adam Schenk,G,7.69%,28.5
,,,,,,,Kevin Streelman,G,7.69%,33.5
,,,,,,,Davis Riley,G,7.69%,30.5
