Rank,EntryId,EntryName,TimeRemaining,Points,Lineup,,Player,Roster Position,%Drafted,FPTS
1,5214383080,Mattyf0422,0,479,G Scottie Scheffler G Hideki Matsuyama G Tom Kim G Aaron Rai G Harry Hall G Nicolas Echavarria,,Tommy Fleetwood,G,50.00%,80
2,5215119858,leonardslossers,0,452.5,G Scottie Scheffler G Jackson Koivun G Michael Brennan G Ryan Gerard G Sungjae Im G Sahith Theegala,,Hideki Matsuyama,G,33.33%,82.5
3,5216583478,JRuppe,0,450,G Tommy Fleetwood G Xander Schauffele G Hideki Matsuyama G Jacob Bridgeman G Sungjae Im G Corey Conners,,Tom Kim,G,33.33%,83
4,5215651592,btweed1683,0,445,G Tommy Fleetwood G Cameron Young G Viktor Hovland G Tom Kim G Rickie Fowler G Ryo Hisatsune,,Robert MacIntyre,G,33.33%,1.5
5,5215164646,miller1017,0,441.5,G Hideki Matsuyama G Chris Gotterup G Patrick Cantlay G Si Woo Kim G Justin Rose G Jordan L. Smith,,Sam Burns,G,25.00%,96
6,5216588300,oneputtralphie,0,438.5,G Tommy Fleetwood G Jackson Koivun G Justin Rose G Tom Kim G Alex Fitzpatrick G Sungjae Im,,Alex Fitzpatrick,G,25.00%,50
7,5215600565,mkpoe,0,421,G Tommy Fleetwood G Sam Burns G Collin Morikawa G Justin Rose G Sepp Straka G Sam Stevens,,Jackson Koivun,G,25.00%,66
8,5216794391,Werm-1,0,409,G Tommy Fleetwood G Matt Fitzpatrick G Russell Henley G Jacob Bridgeman G Adam Scott G Alex Fitzpatrick,,Sungjae Im,G,25.00%,88.5
9,5216652277,Johns59,0,398,G Sam Burns G Si Woo Kim G Wyndham Clark G Robert MacIntyre G Jackson Koivun G Ryan Fox,,Si Woo Kim,G,25.00%,95
10,5215661367,mtlomax,0,384.5,G Tommy Fleetwood G Si Woo Kim G Robert MacIntyre G Tom Kim G Maverick McNealy G Jacob Bridgeman,,Justin Rose,G,25.00%,71
11,5214458748,Derek05,0,355.5,G Matt Fitzpatrick G Sam Burns G Russell Henley G Robert MacIntyre G Keith Mitchell G Alex Fitzpatrick,,Jacob Bridgeman,G,25.00%,62
12,5216816795,budman4423,0,326.5,G Cameron Young G Hideki Matsuyama G Robert MacIntyre G Min Woo Lee G Maverick McNealy G Shane Lowry,,Scottie Scheffler,G,16.67%,125.5
,,,,,,,Matt Fitzpatrick,G,16.67%,73.5
,,,,,,,Russell Henley,G,16.67%,70.5
,,,,,,,Cameron Young,G,16.67%,69
,,,,,,,Maverick McNealy,G,16.67%,63
,,,,,,,Aaron Rai,G,8.33%,47.5
,,,,,,,Harry Hall,G,8.33%,66
,,,,,,,Nicolas Echavarria,G,8.33%,74.5
,,,,,,,Keith Mitchell,G,8.33%,64
,,,,,,,Michael Brennan,G,8.33%,59
,,,,,,,Ryan Gerard,G,8.33%,66
,,,,,,,Sahith Theegala,G,8.33%,47.5
,,,,,,,Chris Gotterup,G,8.33%,62.5
,,,,,,,Patrick Cantlay,G,8.33%,81
,,,,,,,Jordan L. Smith,G,8.33%,49.5
,,,,,,,Collin Morikawa,G,8.33%,51.5
,,,,,,,Sepp Straka,G,8.33%,64.5
,,,,,,,Sam Stevens,G,8.33%,58
,,,,,,,Viktor Hovland,G,8.33%,85.5
,,,,,,,Rickie Fowler,G,8.33%,67.5
,,,,,,,Ryo Hisatsune,G,8.33%,60
,,,,,,,Xander Schauffele,G,8.33%,86.5
,,,,,,,Corey Conners,G,8.33%,50.5
,,,,,,,Wyndham Clark,G,8.33%,84.5
,,,,,,,Ryan Fox,G,8.33%,55
,,,,,,,Adam Scott,G,8.33%,73
,,,,,,,Min Woo Lee,G,8.33%,53.5
,,,,,,,Shane Lowry,G,8.33%,57
