Rank,EntryId,EntryName,TimeRemaining,Points,Lineup,,Player,Roster Position,%Drafted,FPTS
1,5070138686,Werm-1,0,548.5,G Rory McIlroy G Si Woo Kim G Harris English G Shane Lowry G Jacob Bridgeman G Matthew McCarty,,Akshay Bhatia,G,42.11%,83.5
2,5070677206,Freeannyong,0,546,G Tommy Fleetwood G Cameron Young G Matt Fitzpatrick G Adam Scott G Pierceson Coody G Tony Finau,,Tommy Fleetwood,G,36.84%,99
3,5069718268,leonardslossers,0,541.5,G Scottie Scheffler G Sepp Straka G Akshay Bhatia G Jacob Bridgeman G Ryo Hisatsune G Ryan Fox,,Jacob Bridgeman,G,31.58%,138.5
4,5069708305,Derek05,0,540.5,G Rory McIlroy G Matt Fitzpatrick G Harris English G Sepp Straka G Shane Lowry G Jacob Bridgeman,,Chris Gotterup,G,31.58%,23
5,5070714121,bryans812,0,523.5,G Collin Morikawa G Viktor Hovland G Rickie Fowler G Adam Scott G Min Woo Lee G Akshay Bhatia,,Shane Lowry,G,31.58%,75
6,5069493705,Mattyf0422,0,516.5,G Tommy Fleetwood G Hideki Matsuyama G Viktor Hovland G Akshay Bhatia G Sahith Theegala G Jacob Bridgeman,,Hideki Matsuyama,G,26.32%,64.5
7,5069925417,mkpoe,0,496,G Tommy Fleetwood G Shane Lowry G Jordan Spieth G Akshay Bhatia G Sahith Theegala G Sam Stevens,,Ryo Hisatsune,G,26.32%,68.5
8,5070401619,JRuppe,0,474,G Tommy Fleetwood G Collin Morikawa G Adam Scott G Shane Lowry G Jason Day G Sahith Theegala,,Si Woo Kim,G,26.32%,66.5
9,5069773192,Grip-it-and--sip-it,0,464.5,G Russell Henley G Hideki Matsuyama G Si Woo Kim G Min Woo Lee G Ryan Gerard G Jacob Bridgeman,,Sahith Theegala,G,21.05%,71.5
10,5069538994,miller1017,0,457.5,G Tommy Fleetwood G Chris Gotterup G Jake Knapp G Akshay Bhatia G Pierceson Coody G Ryo Hisatsune,,Jake Knapp,G,21.05%,103
11,5070725361,Jason.Elliott,0,439,G Patrick Cantlay G Cameron Young G Chris Gotterup G Adam Scott G Shane Lowry G Max Homa,,Min Woo Lee,G,21.05%,88.5
12,5070650941,mtlomax,0,410,G Russell Henley G Si Woo Kim G Chris Gotterup G Robert MacIntyre G Ryan Gerard G Jacob Bridgeman,,Jason Day,G,21.05%,17.5
13,5070148556,budman4423,0,409,G Si Woo Kim G Viktor Hovland G Chris Gotterup G Jake Knapp G Min Woo Lee G Ryo Hisatsune,,Adam Scott,G,21.05%,120
14,5070377034,btweed1683,0,407.5,G Scottie Scheffler G Jason Day G Akshay Bhatia G Sahith Theegala G Ryo Hisatsune G Tony Finau,,Viktor Hovland,G,15.79%,59.5
15,5070384394,Johns59,0,392.5,G Si Woo Kim G Chris Gotterup G Jake Knapp G Maverick McNealy G Min Woo Lee G Akshay Bhatia,,Russell Henley,G,15.79%,31.5
16,5070005070,oneputtralphie,0,387,G Tommy Fleetwood G Ludvig Aberg G Maverick McNealy G Justin Rose G Shane Lowry G Ryan Gerard,,Ryan Gerard,G,15.79%,75
17,5070435268,L-J_Ruppe,0,378.5,G Hideki Matsuyama G Jake Knapp G Rickie Fowler G Maverick McNealy G Jason Day G Jordan Spieth,,Maverick McNealy,G,15.79%,28
18,5070536672,fer21gie,0,353.5,G Tommy Fleetwood G Hideki Matsuyama G Patrick Cantlay G Jason Day G Tony Finau G Tom Hoge,,Tony Finau,G,15.79%,77
19,5069829734,slewis0060,0,299.5,G Russell Henley G Hideki Matsuyama G Chris Gotterup G Keegan Bradley G Akshay Bhatia G Ryo Hisatsune,,Pierceson Coody,G,10.53%,80.5
,,,,,,,Rory McIlroy,G,10.53%,113.5
,,,,,,,Matt Fitzpatrick,G,10.53%,76.5
,,,,,,,Harris English,G,10.53%,81
,,,,,,,Sepp Straka,G,10.53%,56
,,,,,,,Scottie Scheffler,G,10.53%,89.5
,,,,,,,Jordan Spieth,G,10.53%,84.5
,,,,,,,Collin Morikawa,G,10.53%,91
,,,,,,,Rickie Fowler,G,10.53%,81
,,,,,,,Patrick Cantlay,G,10.53%,66.5
,,,,,,,Cameron Young,G,10.53%,93
,,,,,,,Ryan Fox,G,5.26%,105.5
,,,,,,,Keegan Bradley,G,5.26%,28.5
,,,,,,,Sam Stevens,G,5.26%,82.5
,,,,,,,Ludvig Aberg,G,5.26%,90
,,,,,,,Justin Rose,G,5.26%,20
,,,,,,,Matthew McCarty,G,5.26%,74
,,,,,,,Tom Hoge,G,5.26%,29
,,,,,,,Robert MacIntyre,G,5.26%,75.5
,,,,,,,Max Homa,G,5.26%,61.5
