Rank,EntryId,EntryName,TimeRemaining,Points,Lineup,,Player,Roster Position,%Drafted,FPTS
1,5095513185,Derek05,0,534.5,G Min Woo Lee G Brooks Koepka G Jake Knapp G Sahith Theegala G Sudarshan Yellamaraju G Bronson Burgoon,,Sahith Theegala,G,55.56%,85.5
2,5096377607,L-J_Ruppe,0,506,G Chris Gotterup G Shane Lowry G Rasmus Hojgaard G Jason Day G Sahith Theegala G Tony Finau,,Ryan Fox,G,44.44%,22.5
3,5095655705,mtlomax,0,463.5,G Nicolai Hojgaard G Adam Scott G Shane Lowry G Ryan Gerard G Sahith Theegala G Christiaan Bezuidenhout,,Chris Gotterup,G,38.89%,99
4,5095635752,slewis0060,0,460,G Min Woo Lee G Marco Penge G Ryan Gerard G Keith Mitchell G Sudarshan Yellamaraju G Adrien Dumont De Chassart,,Brooks Koepka,G,33.33%,29
5,5096193641,JRuppe,0,455,G Min Woo Lee G Adam Scott G Ryan Gerard G Sahith Theegala G Tony Finau G Jordan L. Smith,,Min Woo Lee,G,33.33%,114
6,5096472541,oneputtralphie,0,452,G Chris Gotterup G Jake Knapp G Marco Penge G Christiaan Bezuidenhout G Tom Kim G Denny McCarthy,,Adam Scott,G,33.33%,83
7,5096236529,btweed1683,0,446.5,G Min Woo Lee G Chris Gotterup G Stephan Jaeger G Sahith Theegala G Sungjae Im G Max Greyserman,,Christiaan Bezuidenhout,G,27.78%,66.5
8,5096173227,budman4423,0,443,G Kurt Kitayama G Adam Scott G Shane Lowry G Sam Stevens G Sahith Theegala G Ryan Fox,,Jake Knapp,G,27.78%,108
9,5095098228,Mattyf0422,0,432,G Chris Gotterup G Brooks Koepka G Stephan Jaeger G Sahith Theegala G Tony Finau G Jordan L. Smith,,Tony Finau,G,22.22%,69.5
10,5095659249,leonardslossers,0,431,G Min Woo Lee G Chris Gotterup G Patrick Rodgers G Ricky Castillo G Ryan Fox G Sudarshan Yellamaraju,,Sudarshan Yellamaraju,G,22.22%,108
11,5096657413,mkpoe,0,413,G Chris Gotterup G Adam Scott G Keith Mitchell G Sam Stevens G Ryan Fox G Hao-Tong Li,,Sungjae Im,G,22.22%,54
12,5096163980,Werm-1,0,406.5,G Brooks Koepka G Nicolai Hojgaard G Adam Scott G Sahith Theegala G Ryan Fox G Christiaan Bezuidenhout,,Stephan Jaeger,G,16.67%,75
13,5096978234,Johns59,0,400.5,G Rickie Fowler G Adam Scott G Michael Thorbjornsen G Pierceson Coody G Sahith Theegala G Sudarshan Yellamaraju,,Marco Penge,G,16.67%,32
14,5096826573,fer21gie,0,398,G Jake Knapp G Marco Penge G Michael Thorbjornsen G Sam Stevens G Sungjae Im G Ryan Fox,,Ryan Gerard,G,16.67%,29
15,5096409387,bryans812,0,382.5,G Brooks Koepka G Jake Knapp G Nicolai Hojgaard G Pierceson Coody G Christiaan Bezuidenhout G Tom Hoge,,Nicolai Hojgaard,G,16.67%,120
16,5096918986,fertown,0,381,G Chris Gotterup G Jake Knapp G Pierceson Coody G Sahith Theegala G Sungjae Im G Ryan Fox,,Shane Lowry,G,16.67%,79.5
17,5097227920,Jason.Elliott,0,332.5,G Brooks Koepka G Michael Thorbjornsen G Stephan Jaeger G Tony Finau G Sungjae Im G Ryan Fox,,Sam Stevens,G,16.67%,99
18,5095203108,miller1017,0,314.5,G Min Woo Lee G Brooks Koepka G Ryan Fox G Christiaan Bezuidenhout G Tom Kim G David Lipsky,,Pierceson Coody,G,16.67%,12
,,,,,,,Michael Thorbjornsen,G,16.67%,82.5
,,,,,,,Jordan L. Smith,G,11.11%,74
,,,,,,,Tom Kim,G,11.11%,58.5
,,,,,,,Keith Mitchell,G,11.11%,82.5
,,,,,,,David Lipsky,G,5.56%,24
,,,,,,,Bronson Burgoon,G,5.56%,90
,,,,,,,Adrien Dumont De Chassart,G,5.56%,94.5
,,,,,,,Patrick Rodgers,G,5.56%,23
,,,,,,,Ricky Castillo,G,5.56%,64.5
,,,,,,,Kurt Kitayama,G,5.56%,73.5
,,,,,,,Max Greyserman,G,5.56%,19
,,,,,,,Rasmus Hojgaard,G,5.56%,70
,,,,,,,Jason Day,G,5.56%,102.5
,,,,,,,Tom Hoge,G,5.56%,47
,,,,,,,Denny McCarthy,G,5.56%,88
,,,,,,,Hao-Tong Li,G,5.56%,27
,,,,,,,Rickie Fowler,G,5.56%,29.5
