Rank,EntryId,EntryName,TimeRemaining,Points,Lineup,,Player,Roster Position,%Drafted,FPTS
1,5108618565,JRuppe,0,432,G Xander Schauffele G Tommy Fleetwood G Hideki Matsuyama G Corey Conners G Harris English G Adam Scott,,Ludvig Aberg,G,40.91%,80.5
2,5106493807,miller1017,0,405,G Ludvig Aberg G Xander Schauffele G Chris Gotterup G Akshay Bhatia G Jacob Bridgeman G Jake Knapp,,Matt Fitzpatrick,G,40.91%,70
3,5109302881,oneputtralphie,0,391,G Tommy Fleetwood G Cameron Young G Matt Fitzpatrick G Chris Gotterup G Nicolai Hojgaard G Gary Woodland,,Min Woo Lee,G,40.91%,11
4,5107204445,Derek05,0,386.5,G Ludvig Aberg G Matt Fitzpatrick G Robert MacIntyre G Chris Gotterup G Jacob Bridgeman G Jake Knapp,,Adam Scott,G,36.36%,66
5,5106773535,mkpoe,0,379.5,G Xander Schauffele G Hideki Matsuyama G Matt Fitzpatrick G Si Woo Kim G Adam Scott G Nicolai Hojgaard,,Chris Gotterup,G,31.82%,68.5
6,5108139791,Werm-1,0,373,G Ludvig Aberg G Tommy Fleetwood G Viktor Hovland G Jacob Bridgeman G Adam Scott G Nicolai Hojgaard,,Cameron Young,G,31.82%,95.5
7,5106744357,btweed1683,0,370,G Ludvig Aberg G Cameron Young G Matt Fitzpatrick G Russell Henley G Min Woo Lee G Michael Kim,,Akshay Bhatia,G,27.27%,27.5
8,5108966600,fertown,0,369,G Bryson DeChambeau G Tommy Fleetwood G Jordan Spieth G Jason Day G Harris English G Adam Scott,,Jacob Bridgeman,G,27.27%,55
9,5108803616,Johns59,0,363.5,G Ludvig Aberg G Xander Schauffele G Si Woo Kim G Min Woo Lee G Jason Day G Adam Scott,,Nicolai Hojgaard,G,27.27%,26
10,5107592736,Freeannyong,0,353.5,G Bryson DeChambeau G Cameron Young G Matt Fitzpatrick G Corey Conners G Sam Burns G Michael Kim,,Bryson DeChambeau,G,27.27%,24
11,5106590776,Mattyf0422,0,352.5,G Ludvig Aberg G Cameron Young G Matt Fitzpatrick G Akshay Bhatia G Min Woo Lee G Sam Stevens,,Xander Schauffele,G,22.73%,84.5
12,5109177979,trmcmaha,0,348.5,G Xander Schauffele G Viktor Hovland G Matt Fitzpatrick G Patrick Cantlay G Akshay Bhatia G J.J. Spaun,,Tommy Fleetwood,G,22.73%,70.5
13,5109119786,fer21gie,0,344.5,G Bryson DeChambeau G Cameron Young G Patrick Reed G Adam Scott G Ryan Fox G Gary Woodland,,Robert MacIntyre,G,18.18%,23.5
14,5109630371,Jason.Elliott,0,343,G Bryson DeChambeau G Cameron Young G Chris Gotterup G Min Woo Lee G Jacob Bridgeman G Jake Knapp,,Si Woo Kim,G,18.18%,51.5
15,5108042557,budman4423,0,341,G Tommy Fleetwood G Justin Rose G Robert MacIntyre G Chris Gotterup G Min Woo Lee G Adam Scott,,Jake Knapp,G,13.64%,89
16,5108725074,L-J_Ruppe,0,332.5,G Bryson DeChambeau G Jordan Spieth G Shane Lowry G Chris Gotterup G Corey Conners G Nicolai Hojgaard,,Jordan Spieth,G,13.64%,70.5
17,5108648034,jdab29,0,330.5,G Scottie Scheffler G Justin Thomas G Sepp Straka G Dustin Johnson G Andrew Novak G Charl Schwartzel,,Jason Day,G,13.64%,70
18,5106932984,bryans812,0,309.5,G Ludvig Aberg G Matt Fitzpatrick G Jordan Spieth G Si Woo Kim G Min Woo Lee G Nicolai Hojgaard,,Corey Conners,G,13.64%,61.5
19,5108238206,mtlomax,0,309,G Ludvig Aberg G Robert MacIntyre G Tyrrell Hatton G Chris Gotterup G Akshay Bhatia G Min Woo Lee,,Michael Kim,G,9.09%,14.5
20,5106995433,slewis0060,0,293,G Scottie Scheffler G Min Woo Lee G Jason Day G Adam Scott G J.J. Spaun G Bubba Watson,,Hideki Matsuyama,G,9.09%,81.5
21,5108476222,trentdehate,0,279.5,G Bryson DeChambeau G Cameron Young G Akshay Bhatia G Si Woo Kim G Jacob Bridgeman G Nicolai Hojgaard,,Scottie Scheffler,G,9.09%,105
22,5106198088,leonardslossers,0,267.5,G Ludvig Aberg G Matt Fitzpatrick G Robert MacIntyre G Akshay Bhatia G Min Woo Lee G Jacob Bridgeman,,J.J. Spaun,G,9.09%,19
,,,,,,,Viktor Hovland,G,9.09%,75
,,,,,,,Harris English,G,9.09%,68
,,,,,,,Gary Woodland,G,9.09%,60.5
,,,,,,,Sam Stevens,G,4.55%,68
,,,,,,,Russell Henley,G,4.55%,98.5
,,,,,,,Bubba Watson,G,4.55%,22
,,,,,,,Sam Burns,G,4.55%,88
,,,,,,,Justin Rose,G,4.55%,101.5
,,,,,,,Tyrrell Hatton,G,4.55%,98
,,,,,,,Justin Thomas,G,4.55%,53.5
,,,,,,,Sepp Straka,G,4.55%,51.5
,,,,,,,Dustin Johnson,G,4.55%,55
,,,,,,,Andrew Novak,G,4.55%,17.5
,,,,,,,Charl Schwartzel,G,4.55%,48
,,,,,,,Shane Lowry,G,4.55%,82
,,,,,,,Patrick Reed,G,4.55%,81
,,,,,,,Ryan Fox,G,4.55%,17.5
,,,,,,,Patrick Cantlay,G,4.55%,72.5
