Rank,EntryId,EntryName,TimeRemaining,Points,Lineup,,Player,Roster Position,%Drafted,FPTS
1,5157790757,Johns59,0,455.5,G Ludvig Aberg G Hideki Matsuyama G Maverick McNealy G Chris Gotterup G Justin Rose G Ryan Gerard,,Cameron Young,G,33.33%,44.5
2,5155610883,Mattyf0422,0,402.5,G Ludvig Aberg G Xander Schauffele G Hideki Matsuyama G Gary Woodland G Alex Noren G Eric Cole,,Chris Gotterup,G,33.33%,72.5
3,5157865089,slewis0060,0,384,G Cameron Young G Tommy Fleetwood G Kurt Kitayama G Justin Rose G Akshay Bhatia G Wyndham Clark,,Hideki Matsuyama,G,26.67%,55
4,5157081903,mkpoe,0,383.5,G Cameron Young G Justin Thomas G Chris Gotterup G J.J. Spaun G Nicolai Hojgaard G Wyndham Clark,,Adam Scott,G,26.67%,76.5
5,5157177842,Freeannyong,0,368.5,G Scottie Scheffler G Justin Thomas G Chris Gotterup G Pierceson Coody G Alex Fitzpatrick G Sudarshan Yellamaraju,,Justin Thomas,G,26.67%,70.5
6,5157329218,fer21gie,0,364,G Patrick Cantlay G Ben Griffin G Justin Thomas G Chris Gotterup G J.J. Spaun G Nick Taylor,,Ludvig Aberg,G,20.00%,64
7,5157655238,fertown,0,362.5,G Rory McIlroy G Si Woo Kim G Chris Gotterup G Ryo Hisatsune G Sahith Theegala G Daniel Berger,,Gary Woodland,G,20.00%,67
8,5157780094,oneputtralphie,0,344,G Cameron Young G Matt Fitzpatrick G Patrick Cantlay G Corey Conners G Nick Taylor G Alex Fitzpatrick,,Si Woo Kim,G,20.00%,78
9,5155929270,btweed1683,0,323.5,G Matt Fitzpatrick G Russell Henley G Ben Griffin G Maverick McNealy G Sepp Straka G Brandt Snedeker,,Kurt Kitayama,G,20.00%,57.5
10,5157493267,JRuppe,0,313,G Xander Schauffele G Hideki Matsuyama G Justin Thomas G Adam Scott G Jordan Spieth G Corey Conners,,Corey Conners,G,20.00%,37.5
11,5156627921,budman4423,0,312,G Si Woo Kim G Min Woo Lee G Robert MacIntyre G Adam Scott G Harris English G Corey Conners,,Xander Schauffele,G,13.33%,56
12,5156580760,Werm-1,0,305,G Ludvig Aberg G Hideki Matsuyama G Adam Scott G Harris English G Nicolai Hojgaard G Jason Day,,Alex Smalley,G,13.33%,8
13,5155670349,miller1017,0,304,G Cameron Young G Si Woo Kim G Alex Smalley G Kurt Kitayama G Gary Woodland G Ryo Hisatsune,,Ryo Hisatsune,G,13.33%,49
14,5157787803,L-J_Ruppe,0,289,G Cameron Young G Adam Scott G Jordan Spieth G Kurt Kitayama G Shane Lowry G Jason Day,,Matt Fitzpatrick,G,13.33%,43
15,5156172908,leonardslossers,0,286,G Scottie Scheffler G Alex Smalley G Shane Lowry G Akshay Bhatia G Gary Woodland G Michael Kim,,Ben Griffin,G,13.33%,14
,,,,,,,Maverick McNealy,G,13.33%,81
,,,,,,,Scottie Scheffler,G,13.33%,74.5
,,,,,,,Shane Lowry,G,13.33%,73
,,,,,,,Akshay Bhatia,G,13.33%,14
,,,,,,,Harris English,G,13.33%,71
,,,,,,,Nicolai Hojgaard,G,13.33%,18.5
,,,,,,,Jason Day,G,13.33%,20
,,,,,,,J.J. Spaun,G,13.33%,75.5
,,,,,,,Wyndham Clark,G,13.33%,102
,,,,,,,Alex Fitzpatrick,G,13.33%,87.5
,,,,,,,Patrick Cantlay,G,13.33%,77
,,,,,,,Nick Taylor,G,13.33%,54.5
,,,,,,,Jordan Spieth,G,13.33%,17.5
,,,,,,,Justin Rose,G,13.33%,73
,,,,,,,Alex Noren,G,6.67%,75.5
,,,,,,,Eric Cole,G,6.67%,85
,,,,,,,Russell Henley,G,6.67%,68
,,,,,,,Sepp Straka,G,6.67%,51.5
,,,,,,,Brandt Snedeker,G,6.67%,66
,,,,,,,Michael Kim,G,6.67%,49.5
,,,,,,,Min Woo Lee,G,6.67%,24.5
,,,,,,,Robert MacIntyre,G,6.67%,24.5
,,,,,,,Pierceson Coody,G,6.67%,12
,,,,,,,Sudarshan Yellamaraju,G,6.67%,51.5
,,,,,,,Rory McIlroy,G,6.67%,78.5
,,,,,,,Sahith Theegala,G,6.67%,65.5
,,,,,,,Daniel Berger,G,6.67%,19
,,,,,,,Ryan Gerard,G,6.67%,110
,,,,,,,Tommy Fleetwood,G,6.67%,93
