Rank,EntryId,EntryName,TimeRemaining,Points,Lineup,,Player,Roster Position,%Drafted,FPTS
1,5138962146,leonardslossers,0,370,G Cameron Young G Matt Fitzpatrick G Patrick Cantlay G Rickie Fowler G Harris English G Alex Fitzpatrick,,Cameron Young,G,60.00%,65.5
2,5138550894,Johns59,0,355.5,G Rory McIlroy G Cameron Young G Rickie Fowler G Sahith Theegala G Kristoffer Reitan G Alex Fitzpatrick,,Adam Scott,G,40.00%,16.5
3,5140095024,Mattyf0422,0,340,G Cameron Young G Xander Schauffele G Ludvig Aberg G Si Woo Kim G Sam Stevens G Matthew McCarty,,Rickie Fowler,G,40.00%,52
4,5139722958,budman4423,0,324.5,G Matt Fitzpatrick G Hideki Matsuyama G Shane Lowry G Jason Day G Min Woo Lee G Max Homa,,Si Woo Kim,G,26.67%,58.5
5,5140745973,Jason.Elliott,0,310,G Scottie Scheffler G Shane Lowry G Adam Scott G Rickie Fowler G Nicolai Hojgaard G Alex Fitzpatrick,,Sahith Theegala,G,26.67%,48.5
6,5140788590,oneputtralphie,0,305.5,G Matt Fitzpatrick G Justin Rose G Patrick Reed G J.J. Spaun G Akshay Bhatia G Alex Fitzpatrick,,Matt Fitzpatrick,G,26.67%,70
7,5138408677,Derek05,0,301.5,G Cameron Young G Matt Fitzpatrick G Ludvig Aberg G Rickie Fowler G Stewart Cink G Sudarshan Yellamaraju,,Alex Fitzpatrick,G,26.67%,53
8,5139978881,fer21gie,0,298,G Bryson DeChambeau G Cameron Young G Si Woo Kim G Gary Woodland G Harris English G Nicolai Hojgaard,,Rory McIlroy,G,20.00%,72.5
8,5140573063,Werm-1,0,298,G Rory McIlroy G Russell Henley G Adam Scott G Rickie Fowler G Harris English G Nicolai Hojgaard,,Jacob Bridgeman,G,20.00%,14
10,5140197199,mtlomax,0,274,G Cameron Young G Tyrrell Hatton G Patrick Reed G Jacob Bridgeman G Dustin Johnson G Sahith Theegala,,Patrick Cantlay,G,20.00%,53.5
11,5140745066,JRuppe,0,262.5,G Cameron Young G Tommy Fleetwood G Sam Burns G Adam Scott G Rickie Fowler G Sahith Theegala,,Shane Lowry,G,20.00%,63
12,5140622019,trentdehate,0,240,G Cameron Young G Hideki Matsuyama G Sam Burns G Jacob Bridgeman G Adam Scott G Keegan Bradley,,Harris English,G,20.00%,76
13,5139397316,miller1017,0,235.5,G Cameron Young G Patrick Cantlay G Sepp Straka G Min Woo Lee G Adam Scott G Sudarshan Yellamaraju,,Nicolai Hojgaard,G,20.00%,60.5
14,5138625699,mkpoe,0,231.5,G Tommy Fleetwood G Patrick Cantlay G Shane Lowry G Si Woo Kim G Akshay Bhatia G Sungjae Im,,Ludvig Aberg,G,13.33%,84
15,5138335113,Grip-it-and--sip-it,0,210,G Rory McIlroy G Si Woo Kim G Jake Knapp G Jacob Bridgeman G Adam Scott G Sahith Theegala,,Sudarshan Yellamaraju,G,13.33%,13.5
,,,,,,,Tommy Fleetwood,G,13.33%,16.5
,,,,,,,Akshay Bhatia,G,13.33%,20.5
,,,,,,,Min Woo Lee,G,13.33%,66.5
,,,,,,,Hideki Matsuyama,G,13.33%,65.5
,,,,,,,Patrick Reed,G,13.33%,67
,,,,,,,Sam Burns,G,13.33%,63.5
,,,,,,,Jake Knapp,G,6.67%,0
,,,,,,,Stewart Cink,G,6.67%,16.5
,,,,,,,Kristoffer Reitan,G,6.67%,64
,,,,,,,Sungjae Im,G,6.67%,19.5
,,,,,,,Sepp Straka,G,6.67%,20
,,,,,,,Jason Day,G,6.67%,51.5
,,,,,,,Max Homa,G,6.67%,8
,,,,,,,Bryson DeChambeau,G,6.67%,22.5
,,,,,,,Gary Woodland,G,6.67%,15
,,,,,,,Xander Schauffele,G,6.67%,74
,,,,,,,Sam Stevens,G,6.67%,48
,,,,,,,Matthew McCarty,G,6.67%,10
,,,,,,,Tyrrell Hatton,G,6.67%,20
,,,,,,,Dustin Johnson,G,6.67%,59
,,,,,,,Russell Henley,G,6.67%,20.5
,,,,,,,Keegan Bradley,G,6.67%,15
,,,,,,,Scottie Scheffler,G,6.67%,65
,,,,,,,Justin Rose,G,6.67%,75
,,,,,,,J.J. Spaun,G,6.67%,20
