Rank,EntryId,EntryName,TimeRemaining,Points,Lineup,,Player,Roster Position,%Drafted,FPTS
1,5163338656,Johns59,0,490,G Shane Lowry G Kristoffer Reitan G Alex Fitzpatrick G Nick Taylor G Ryan Fox G Sudarshan Yellamaraju,,Kristoffer Reitan,G,50.00%,66
2,5162374412,oneputtralphie,0,464,G Matt Fitzpatrick G Kristoffer Reitan G Alex Fitzpatrick G Matt Wallace G Max Homa G Tom Kim,,Alex Fitzpatrick,G,50.00%,78
3,5162077771,miller1017,0,457,G Collin Morikawa G Shane Lowry G Eric Cole G Ryan Fox G Bud Cauley G Matti Schmid,,Ryan Fox,G,41.67%,103.5
4,5162356704,Derek05,0,440,G Tommy Fleetwood G Wyndham Clark G Ryan Fox G Corey Conners G Andrew Putnam G Jackson Suber,,Nick Taylor,G,41.67%,65.5
5,5163588249,Freeannyong,0,421,G Brooks Koepka G Nicolai Hojgaard G Kristoffer Reitan G Ryan Fox G Tony Finau G Tom Kim,,Aaron Rai,G,41.67%,31
6,5162643596,JRuppe,0,418,G Tommy Fleetwood G Aaron Rai G Jacob Bridgeman G Nick Taylor G Sahith Theegala G Tony Finau,,Eric Cole,G,33.33%,38
7,5161350113,Mattyf0422,0,392,G Sam Burns G Kristoffer Reitan G Alex Fitzpatrick G Ryan Fox G Andrew Putnam G Matti Schmid,,Corey Conners,G,33.33%,28
8,5163055195,Werm-1,0,368.5,G Collin Morikawa G Alex Fitzpatrick G Aaron Rai G Jacob Bridgeman G Christiaan Bezuidenhout G Andrew Putnam,,Andrew Putnam,G,25.00%,36
9,5161970612,leonardslossers,0,352.5,G Kristoffer Reitan G Alex Fitzpatrick G Aaron Rai G Nick Taylor G Eric Cole G Sahith Theegala,,Sahith Theegala,G,25.00%,74
10,5161794139,btweed1683,0,309,G Nicolai Hojgaard G Kristoffer Reitan G Keith Mitchell G Nick Taylor G Eric Cole G Corey Conners,,Tommy Fleetwood,G,25.00%,85.5
11,5163202216,budman4423,0,303,G Justin Rose G Alex Fitzpatrick G Aaron Rai G Nick Taylor G Sahith Theegala G Corey Conners,,Matti Schmid,G,16.67%,29.5
12,5163298510,mkpoe,0,264.5,G Tommy Fleetwood G Aaron Rai G Eric Cole G Corey Conners G Christiaan Bezuidenhout G Stephan Jaeger,,Nicolai Hojgaard,G,16.67%,28
,,,,,,,Collin Morikawa,G,16.67%,75.5
,,,,,,,Shane Lowry,G,16.67%,75
,,,,,,,Tom Kim,G,16.67%,82.5
,,,,,,,Jacob Bridgeman,G,16.67%,84.5
,,,,,,,Tony Finau,G,16.67%,77.5
,,,,,,,Christiaan Bezuidenhout,G,16.67%,63.5
,,,,,,,Sam Burns,G,8.33%,79
,,,,,,,Keith Mitchell,G,8.33%,83.5
,,,,,,,Bud Cauley,G,8.33%,135.5
,,,,,,,Wyndham Clark,G,8.33%,84.5
,,,,,,,Jackson Suber,G,8.33%,102.5
,,,,,,,Matt Fitzpatrick,G,8.33%,111.5
,,,,,,,Matt Wallace,G,8.33%,40
,,,,,,,Max Homa,G,8.33%,86
,,,,,,,Justin Rose,G,8.33%,26.5
,,,,,,,Stephan Jaeger,G,8.33%,18.5
,,,,,,,Sudarshan Yellamaraju,G,8.33%,102
,,,,,,,Brooks Koepka,G,8.33%,63.5
