Rank,EntryId,EntryName,TimeRemaining,Points,Lineup,,Player,Roster Position,%Drafted,FPTS
1,5113267754,miller1017,0,523,G Ludvig Aberg G Jake Knapp G Si Woo Kim G Jacob Bridgeman G Sahith Theegala G Gary Woodland,,Chris Gotterup,G,53.33%,81.5
2,5115084826,fer21gie,0,520,G Scottie Scheffler G Si Woo Kim G Daniel Berger G Brian Harman G Matthew McCarty G Andrew Putnam,,Sahith Theegala,G,53.33%,84.5
3,5115155038,L-J_Ruppe,0,519,G Collin Morikawa G Si Woo Kim G Jacob Bridgeman G Chris Gotterup G Jason Day G Ryan Gerard,,Brian Harman,G,33.33%,82
4,5113114300,Derek05,0,517,G Tommy Fleetwood G Matt Fitzpatrick G Chris Gotterup G Sahith Theegala G Sudarshan Yellamaraju G Brian Harman,,Russell Henley,G,33.33%,70.5
5,5113426369,oneputtralphie,0,495.5,G Scottie Scheffler G Robert MacIntyre G Nicolai Hojgaard G Marco Penge G Gary Woodland G Pierceson Coody,,Jacob Bridgeman,G,33.33%,81
6,5114687403,mkpoe,0,494.5,G Russell Henley G Ludvig Aberg G Chris Gotterup G Akshay Bhatia G Sahith Theegala G Sam Stevens,,Jake Knapp,G,26.67%,58
7,5115286533,Johns59,0,492,G Scottie Scheffler G Jacob Bridgeman G Ryan Gerard G Sudarshan Yellamaraju G Brian Harman G Ricky Castillo,,Si Woo Kim,G,26.67%,106.5
7,5115372667,Jason.Elliott,0,492,G Russell Henley G Patrick Cantlay G Jordan Spieth G Akshay Bhatia G Sahith Theegala G Brian Harman,,Scottie Scheffler,G,26.67%,119.5
9,5114901486,mtlomax,0,481,G Russell Henley G Si Woo Kim G Maverick McNealy G Jacob Bridgeman G Chris Gotterup G Ricky Castillo,,Sudarshan Yellamaraju,G,20.00%,71
10,5115194992,Freeannyong,0,477.5,G Scottie Scheffler G Patrick Cantlay G Alex Noren G Corey Conners G Tony Finau G Pierceson Coody,,Patrick Cantlay,G,20.00%,90
11,5114477963,slewis0060,0,475.5,G Ludvig Aberg G Jordan Spieth G Shane Lowry G Chris Gotterup G Ryo Hisatsune G Sahith Theegala,,Ludvig Aberg,G,20.00%,100
12,5113417079,btweed1683,0,455,G Russell Henley G Jake Knapp G Chris Gotterup G Sepp Straka G Akshay Bhatia G Sahith Theegala,,Akshay Bhatia,G,20.00%,85
13,5113127542,Mattyf0422,0,447.5,G Russell Henley G Patrick Cantlay G Jake Knapp G Jacob Bridgeman G Sahith Theegala G Tom Hoge,,Tommy Fleetwood,G,13.33%,68
14,5113962778,JRuppe,0,440.5,G Xander Schauffele G Tommy Fleetwood G Chris Gotterup G Sahith Theegala G Brian Harman G Tony Finau,,Gary Woodland,G,13.33%,93
15,5113489719,leonardslossers,0,415,G Cameron Young G Jake Knapp G Justin Thomas G Chris Gotterup G Nicolai Hojgaard G Sudarshan Yellamaraju,,Nicolai Hojgaard,G,13.33%,70
,,,,,,,Pierceson Coody,G,13.33%,87
,,,,,,,Tony Finau,G,13.33%,41.5
,,,,,,,Jordan Spieth,G,13.33%,80
,,,,,,,Ricky Castillo,G,13.33%,64
,,,,,,,Ryan Gerard,G,13.33%,74.5
,,,,,,,Matt Fitzpatrick,G,6.67%,130
,,,,,,,Tom Hoge,G,6.67%,63.5
,,,,,,,Sepp Straka,G,6.67%,75.5
,,,,,,,Robert MacIntyre,G,6.67%,73.5
,,,,,,,Marco Penge,G,6.67%,52.5
,,,,,,,Cameron Young,G,6.67%,75.5
,,,,,,,Justin Thomas,G,6.67%,59
,,,,,,,Xander Schauffele,G,6.67%,83
,,,,,,,Shane Lowry,G,6.67%,65.5
,,,,,,,Ryo Hisatsune,G,6.67%,64
,,,,,,,Sam Stevens,G,6.67%,73
,,,,,,,Maverick McNealy,G,6.67%,77.5
,,,,,,,Daniel Berger,G,6.67%,67.5
,,,,,,,Matthew McCarty,G,6.67%,80.5
,,,,,,,Andrew Putnam,G,6.67%,64
,,,,,,,Collin Morikawa,G,6.67%,101.5
,,,,,,,Jason Day,G,6.67%,74
,,,,,,,Alex Noren,G,6.67%,66.5
,,,,,,,Corey Conners,G,6.67%,73
