Rank,EntryId,EntryName,TimeRemaining,Points,Lineup,,Player,Roster Position,%Drafted,FPTS
1,5201648495,Mattyf0422,0,462,G Cameron Young G Russell Henley G J.J. Spaun G Davis Thompson G Chris Kirk G Chandler Phillips,,Jackson Koivun,G,45.45%,76.5
2,5203020174,oneputtralphie,0,458,G Jackson Koivun G Hideki Matsuyama G Jake Knapp G Marco Penge G Corey Conners G Benjamin James,,Ryo Hisatsune,G,36.36%,62
3,5200729662,slewis0060,0,456,G Cameron Young G Jackson Koivun G Eric Cole G Ryo Hisatsune G Matt Wallace G Ben Kohles,,Akshay Bhatia,G,36.36%,29.5
3,5202187789,Johns59,0,456,G Si Woo Kim G Jackson Koivun G Ryan Gerard G Ryo Hisatsune G Jackson Suber G Benjamin James,,Cameron Young,G,27.27%,87
5,5202467642,btweed1683,0,440.5,G Cameron Young G Russell Henley G Akshay Bhatia G Ryo Hisatsune G Ben Kohles G Sungjae Im,,Ben Kohles,G,27.27%,86
6,5202032621,Derek05,0,424.5,G Si Woo Kim G Jackson Koivun G Jake Knapp G Rickie Fowler G Benjamin James G Zac Blair,,Russell Henley,G,27.27%,91
7,5201612291,mkpoe,0,418.5,G Si Woo Kim G Nicolai H?jgaard G Michael Thorbjornsen G Brooks Koepka G Keegan Bradley G Ryo Hisatsune,,Hideki Matsuyama,G,27.27%,98
8,5202208848,JRuppe,0,417.5,G Chris Gotterup G Hideki Matsuyama G Ryan Gerard G Jacob Bridgeman G Rasmus Neergaard-Petersen G Ben Kohles,,Jacob Bridgeman,G,27.27%,78
9,5201771674,miller1017,0,416,G Ryan Gerard G Harris English G Akshay Bhatia G Nicolai H?jgaard G Rickie Fowler G Jacob Bridgeman,,Si Woo Kim,G,27.27%,75
10,5201232270,leonardslossers,0,396.5,G Russell Henley G Hideki Matsuyama G Akshay Bhatia G Jacob Bridgeman G Jackson Suber G Pierceson Coody,,Ryan Gerard,G,27.27%,99.5
11,5202702190,Freeannyong,0,296.5,G Xander Schauffele G Jackson Koivun G Jake Knapp G Akshay Bhatia G Chandler Phillips G Brad Dalke,,Jake Knapp,G,27.27%,45
,,,,,,,Benjamin James,G,27.27%,73.5
,,,,,,,Jackson Suber,G,18.18%,69.5
,,,,,,,Nicolai H?jgaard,G,18.18%,65.5
,,,,,,,Chandler Phillips,G,18.18%,24.5
,,,,,,,Rickie Fowler,G,18.18%,91
,,,,,,,Eric Cole,G,9.09%,30.5
,,,,,,,Matt Wallace,G,9.09%,114
,,,,,,,Pierceson Coody,G,9.09%,30.5
,,,,,,,Michael Thorbjornsen,G,9.09%,129.5
,,,,,,,Brooks Koepka,G,9.09%,0
,,,,,,,Keegan Bradley,G,9.09%,86.5
,,,,,,,J.J. Spaun,G,9.09%,68
,,,,,,,Davis Thompson,G,9.09%,99.5
,,,,,,,Chris Kirk,G,9.09%,92
,,,,,,,Harris English,G,9.09%,52.5
,,,,,,,Zac Blair,G,9.09%,63.5
,,,,,,,Chris Gotterup,G,9.09%,27.5
,,,,,,,Rasmus Neergaard-Petersen,G,9.09%,28.5
,,,,,,,Sungjae Im,G,9.09%,85
,,,,,,,Xander Schauffele,G,9.09%,110
,,,,,,,Brad Dalke,G,9.09%,11
,,,,,,,Marco Penge,G,9.09%,70
,,,,,,,Corey Conners,G,9.09%,95
