Rank,EntryId,EntryName,TimeRemaining,Points,Lineup,,Player,Roster Position,%Drafted,FPTS
1,5185468705,budman4423,0,508.5,G Matt Fitzpatrick G Robert MacIntyre G Tyrrell Hatton G Nicolai Hojgaard G Adam Scott G Kevin Roy,,Matt Fitzpatrick,G,42.86%,106.5
2,5184832556,JRuppe,0,477.5,G Tommy Fleetwood G Wyndham Clark G Viktor Hovland G Tom Kim G Corey Conners G Sahith Theegala,,Alex Fitzpatrick,G,42.86%,24.5
3,5185473232,oneputtralphie,0,475,G Matt Fitzpatrick G Robert MacIntyre G Kristoffer Reitan G Patrick Reed G Marco Penge G Tom Kim,,Chris Gotterup,G,42.86%,79
4,5185439301,Derek05,0,465,G Matt Fitzpatrick G Wyndham Clark G Tyrrell Hatton G Alex Fitzpatrick G Patrick Reed G Francesco Molinari,,Kristoffer Reitan,G,35.71%,24.5
5,5184251437,Werm-1,0,423,G Rory McIlroy G Adam Scott G Tom Kim G Ryan Gerard G Sahith Theegala G Sam Stevens,,Patrick Reed,G,35.71%,80
6,5183544766,miller1017,0,413,G Matt Fitzpatrick G Wyndham Clark G Robert MacIntyre G Alex Fitzpatrick G Kristoffer Reitan G Nicolai Von Dellingshausen,,Wyndham Clark,G,28.57%,85
7,5183577953,btweed1683,0,407.5,G Chris Gotterup G Viktor Hovland G Tyrrell Hatton G Patrick Reed G Marco Penge G Sahith Theegala,,Robert MacIntyre,G,28.57%,110.5
8,5184611663,Mattyf0422,0,405,G Rory McIlroy G Chris Gotterup G Alex Fitzpatrick G Tom Kim G Jesper Svensson G Richard Mansell,,Tyrrell Hatton,G,28.57%,85
9,5184307148,leonardslossers,0,385,G Matt Fitzpatrick G Tommy Fleetwood G Alex Fitzpatrick G Shane Lowry G Patrick Reed G Brian Harman,,Tom Kim,G,28.57%,123.5
10,5185356669,fertown,0,365.5,G Matt Fitzpatrick G Chris Gotterup G Kurt Kitayama G Alex Fitzpatrick G Aaron Rai G Oliver Lindell,,Sahith Theegala,G,21.43%,54
11,5184231289,mkpoe,0,341,G Robert MacIntyre G Patrick Cantlay G J.J. Spaun G Kristoffer Reitan G Shane Lowry G Patrick Reed,,Shane Lowry,G,21.43%,29
12,5185193746,slewis0060,0,306,G Tommy Fleetwood G Chris Gotterup G David Puig G Shane Lowry G Adam Scott G Angel Ayora Fanegas,,Adam Scott,G,21.43%,55.5
13,5185382068,Johns59,0,299.5,G Chris Gotterup G Wyndham Clark G Justin Thomas G Alex Fitzpatrick G Kristoffer Reitan G Sam Stevens,,Tommy Fleetwood,G,21.43%,77.5
14,5183885238,fer21gie,0,267.5,G Chris Gotterup G Tyrrell Hatton G Brooks Koepka G Kristoffer Reitan G Aaron Rai G Jake Knapp,,Viktor Hovland,G,14.29%,79.5
,,,,,,,Marco Penge,G,14.29%,30
,,,,,,,Aaron Rai,G,14.29%,23
,,,,,,,Rory McIlroy,G,14.29%,92
,,,,,,,Sam Stevens,G,14.29%,26.5
,,,,,,,Nicolai Von Dellingshausen,G,7.14%,62
,,,,,,,Brooks Koepka,G,7.14%,32
,,,,,,,Jake Knapp,G,7.14%,24
,,,,,,,Patrick Cantlay,G,7.14%,31
,,,,,,,J.J. Spaun,G,7.14%,66
,,,,,,,Ryan Gerard,G,7.14%,71.5
,,,,,,,Brian Harman,G,7.14%,67.5
,,,,,,,Jesper Svensson,G,7.14%,60.5
,,,,,,,Richard Mansell,G,7.14%,25.5
,,,,,,,Corey Conners,G,7.14%,58
,,,,,,,David Puig,G,7.14%,36
,,,,,,,Angel Ayora Fanegas,G,7.14%,29
,,,,,,,Kurt Kitayama,G,7.14%,69.5
,,,,,,,Oliver Lindell,G,7.14%,63
,,,,,,,Justin Thomas,G,7.14%,60
,,,,,,,Francesco Molinari,G,7.14%,84
,,,,,,,Nicolai Hojgaard,G,7.14%,69
,,,,,,,Kevin Roy,G,7.14%,82
