Rank,EntryId,EntryName,TimeRemaining,Points,Lineup,,Player,Roster Position,%Drafted,FPTS
1,5085476357,Derek05,0,481.5,G Tommy Fleetwood G Ludvig Aberg G Cameron Young G Brooks Koepka G Jake Knapp G Min Woo Lee,,Collin Morikawa,G,61.90%,0.5
2,5085313183,mtlomax,0,451.5,G Si Woo Kim G Matt Fitzpatrick G Robert MacIntyre G Jacob Bridgeman G Jake Knapp G Min Woo Lee,,Si Woo Kim,G,47.62%,58
3,5085414410,slewis0060,0,442.5,G Scottie Scheffler G Brooks Koepka G Akshay Bhatia G Sahith Theegala G Patrick Rodgers G Seamus Power,,Jake Knapp,G,47.62%,23
4,5085046076,bryans812,0,436,G Rory McIlroy G Si Woo Kim G Akshay Bhatia G Sepp Straka G Brian Harman G Max McGreevy,,Min Woo Lee,G,42.86%,74
5,5085212776,leonardslossers,0,425.5,G Tommy Fleetwood G Collin Morikawa G Cameron Young G Akshay Bhatia G Rickie Fowler G Patrick Rodgers,,Tommy Fleetwood,G,33.33%,92.5
6,5086403890,Freeannyong,0,418,G Collin Morikawa G Russell Henley G Matt Fitzpatrick G Sepp Straka G Nicolai Hojgaard G Ryo Hisatsune,,Akshay Bhatia,G,33.33%,79
7,5084620903,btweed1683,0,410.5,G Collin Morikawa G Si Woo Kim G Cameron Young G Akshay Bhatia G Sepp Straka G Min Woo Lee,,Sahith Theegala,G,33.33%,74
8,5086313897,budman4423,0,409,G Hideki Matsuyama G Robert MacIntyre G Ben Griffin G Justin Thomas G Jason Day G Maverick McNealy,,Ludvig Aberg,G,28.57%,98.5
9,5085871996,oneputtralphie,0,405,G Tommy Fleetwood G Ludvig Aberg G Jake Knapp G Adam Scott G Daniel Berger G Sahith Theegala,,Jacob Bridgeman,G,23.81%,95.5
10,5086825683,fer21gie,0,404.5,G Tommy Fleetwood G Si Woo Kim G Jacob Bridgeman G Jake Knapp G Daniel Berger G Sahith Theegala,,Sepp Straka,G,23.81%,89.5
11,5086438610,Johns59,0,385,G Collin Morikawa G Si Woo Kim G Matt Fitzpatrick G Sepp Straka G Adam Scott G Sahith Theegala,,Daniel Berger,G,23.81%,61.5
12,5085587653,mkpoe,0,378,G Collin Morikawa G Ludvig Aberg G Cameron Young G Jordan Spieth G Jake Knapp G Min Woo Lee,,Cameron Young,G,19.05%,109.5
13,5085191065,JRuppe,0,365.5,G Collin Morikawa G Hideki Matsuyama G Ludvig Aberg G Min Woo Lee G Adam Scott G Daniel Berger,,Adam Scott,G,19.05%,55.5
14,5084746907,fertown,0,363.5,G Collin Morikawa G Si Woo Kim G Ludvig Aberg G Sepp Straka G Adam Scott G Daniel Berger,,Matt Fitzpatrick,G,14.29%,107.5
15,5086319908,trentdehate,0,355,G Tommy Fleetwood G Collin Morikawa G Jacob Bridgeman G Harris English G Rickie Fowler G Ryo Hisatsune,,Rickie Fowler,G,14.29%,61
16,5084947764,jdab29,0,354.5,G Rory McIlroy G Tommy Fleetwood G Jake Knapp G Daniel Berger G Sahith Theegala G Ricky Castillo,,Rory McIlroy,G,9.52%,56
17,5084702912,miller1017,0,330,G Collin Morikawa G Si Woo Kim G Jacob Bridgeman G Akshay Bhatia G Jake Knapp G Min Woo Lee,,Hideki Matsuyama,G,9.52%,75.5
17,5085933895,Jason.Elliott,0,330,G Collin Morikawa G Si Woo Kim G Jacob Bridgeman G Akshay Bhatia G Jake Knapp G Min Woo Lee,,Robert MacIntyre,G,9.52%,93.5
19,5084733240,Mattyf0422,0,328,G Collin Morikawa G Si Woo Kim G Ludvig Aberg G Jake Knapp G Min Woo Lee G Sahith Theegala,,Justin Thomas,G,9.52%,88.5
20,5085813711,Werm-1,0,324,G Tommy Fleetwood G Collin Morikawa G Harris English G Nicolai Hojgaard G Rickie Fowler G Sahith Theegala,,Brooks Koepka,G,9.52%,84
21,5086241045,Grip-it-and--sip-it,0,323,G Collin Morikawa G Si Woo Kim G Justin Thomas G Akshay Bhatia G Jake Knapp G Min Woo Lee,,Harris English,G,9.52%,28.5
,,,,,,,Nicolai Hojgaard,G,9.52%,67.5
,,,,,,,Ryo Hisatsune,G,9.52%,77
,,,,,,,Patrick Rodgers,G,9.52%,83
,,,,,,,Scottie Scheffler,G,4.76%,74
,,,,,,,Russell Henley,G,4.76%,76
,,,,,,,Ben Griffin,G,4.76%,31
,,,,,,,Jason Day,G,4.76%,52
,,,,,,,Jordan Spieth,G,4.76%,72.5
,,,,,,,Maverick McNealy,G,4.76%,68.5
,,,,,,,Brian Harman,G,4.76%,87
,,,,,,,Max McGreevy,G,4.76%,66.5
,,,,,,,Ricky Castillo,G,4.76%,47.5
,,,,,,,Seamus Power,G,4.76%,48.5
