Rank,EntryId,EntryName,TimeRemaining,Points,Lineup,,Player,Roster Position,%Drafted,FPTS
1,5231302158,mtlomax,0,578.5,G Rory McIlroy G Tommy Fleetwood G Cameron Young G Chris Gotterup G Jacob Bridgeman G Alex Fitzpatrick,,Collin Morikawa,G,53.85%,83
2,5230442297,Derek05,0,566,G Rory McIlroy G Ludvig ?berg G Patrick Cantlay G Russell Henley G Min Woo Lee G Alex Fitzpatrick,,Patrick Cantlay,G,38.46%,66
3,5230850639,slewis0060,0,565.5,G Scottie Scheffler G Cameron Young G Robert MacIntyre G Jacob Bridgeman G Tom Kim G Alex Fitzpatrick,,Hideki Matsuyama,G,38.46%,67.5
4,5231260534,btweed1683,0,542.5,G Rory McIlroy G Wyndham Clark G Collin Morikawa G Ryan Gerard G Viktor Hovland G Tom Kim,,Adam Scott,G,30.77%,77.5
5,5229824504,leonardslossers,0,528,G Scottie Scheffler G Patrick Cantlay G Si Woo Kim G Robert MacIntyre G Alex Fitzpatrick G Akshay Bhatia,,Si Woo Kim,G,30.77%,90.5
6,5228932707,Mattyf0422,0,522.5,G Scottie Scheffler G Collin Morikawa G Russell Henley G Tom Kim G Gary Woodland G Adam Scott,,Alex Fitzpatrick,G,30.77%,101
7,5230225274,mkpoe,0,494,G Ludvig ?berg G Patrick Cantlay G Cameron Young G Collin Morikawa G Si Woo Kim G Gary Woodland,,Cameron Young,G,30.77%,89.5
8,5230782203,budman4423,0,490,G Xander Schauffele G Cameron Young G Chris Gotterup G Matt Fitzpatrick G Si Woo Kim G Hideki Matsuyama,,Xander Schauffele,G,30.77%,81.5
9,5230292860,JRuppe,0,487.5,G Xander Schauffele G Tommy Fleetwood G Collin Morikawa G Chris Gotterup G Hideki Matsuyama G Adam Scott,,Chris Gotterup,G,30.77%,95
10,5230760548,Werm-1,0,458.5,G Xander Schauffele G Tommy Fleetwood G Collin Morikawa G Matt Fitzpatrick G Hideki Matsuyama G Adam Scott,,Rory McIlroy,G,30.77%,111.5
11,5231787152,oneputtralphie,0,451,G Xander Schauffele G Wyndham Clark G Patrick Cantlay G Chris Gotterup G Matt Fitzpatrick G Ryan Fox,,Wyndham Clark,G,30.77%,69.5
12,5230453686,miller1017,0,442.5,G Wyndham Clark G Patrick Cantlay G Collin Morikawa G Matt Fitzpatrick G Si Woo Kim G Hideki Matsuyama,,Matt Fitzpatrick,G,30.77%,66
13,5230605336,Johns59,0,408,G Rory McIlroy G Wyndham Clark G Collin Morikawa G Hideki Matsuyama G J.J. Spaun G Adam Scott,,Scottie Scheffler,G,23.08%,127.5
,,,,,,,Tom Kim,G,23.08%,80
,,,,,,,Tommy Fleetwood,G,23.08%,83
,,,,,,,Russell Henley,G,15.38%,90.5
,,,,,,,Gary Woodland,G,15.38%,64
,,,,,,,Robert MacIntyre,G,15.38%,69
,,,,,,,Ludvig ?berg,G,15.38%,101
,,,,,,,Jacob Bridgeman,G,15.38%,98.5
,,,,,,,Akshay Bhatia,G,7.69%,74
,,,,,,,Min Woo Lee,G,7.69%,96
,,,,,,,J.J. Spaun,G,7.69%,-1
,,,,,,,Ryan Gerard,G,7.69%,96.5
,,,,,,,Viktor Hovland,G,7.69%,102
,,,,,,,Ryan Fox,G,7.69%,73
