Rank,EntryId,EntryName,TimeRemaining,Points,Lineup,,Player,Roster Position,%Drafted,FPTS
1,5173279973,fertown,0,589,G Sam Burns G Collin Morikawa G Keegan Bradley G Sahith Theegala G Alex Fitzpatrick G J.T. Poston,,Alex Fitzpatrick,G,50.00%,106
2,5173668797,mkpoe,0,562.5,G Justin Thomas G Chris Gotterup G Keegan Bradley G Robert MacIntyre G Harris English G Keith Mitchell,,Justin Thomas,G,42.86%,95.5
3,5173519928,leonardslossers,0,554.5,G Matt Fitzpatrick G Sam Burns G Aaron Rai G Sahith Theegala G Gary Woodland G Akshay Bhatia,,Sahith Theegala,G,35.71%,81
4,5175076830,Freeannyong,0,550.5,G Scottie Scheffler G Keegan Bradley G Alex Fitzpatrick G Ryo Hisatsune G Ryan Fox G Tony Finau,,Xander Schauffele,G,28.57%,72
5,5174623256,budman4423,0,544.5,G Matt Fitzpatrick G Justin Thomas G Harris English G Sahith Theegala G Alex Fitzpatrick G Adam Scott,,Sam Burns,G,28.57%,106.5
6,5175043351,slewis0060,0,537.5,G Wyndham Clark G Justin Thomas G Patrick Cantlay G Gary Woodland G Hideki Matsuyama G Keith Mitchell,,Si Woo Kim,G,21.43%,80
7,5174581408,Derek05,0,537,G Xander Schauffele G Sam Burns G Justin Thomas G Brian Harman G Alex Smalley G Eric Cole,,Gary Woodland,G,21.43%,44
8,5174897684,oneputtralphie,0,529,G Matt Fitzpatrick G Ludvig Aberg G Alex Fitzpatrick G Adam Scott G Jake Knapp G Kristoffer Reitan,,Ludvig Aberg,G,21.43%,68
9,5175078714,Johns59,0,528,G Ludvig Aberg G Sam Burns G Aaron Rai G Sahith Theegala G Alex Fitzpatrick G Jake Knapp,,Aaron Rai,G,21.43%,87
10,5172834766,miller1017,0,526,G Justin Thomas G Si Woo Kim G Kurt Kitayama G Ben Griffin G Alex Fitzpatrick G Gary Woodland,,Keith Mitchell,G,21.43%,93
11,5173583587,Werm-1,0,523,G Xander Schauffele G Si Woo Kim G Chris Gotterup G Alex Fitzpatrick G Jake Knapp G Nicolai Hojgaard,,Keegan Bradley,G,21.43%,97.5
12,5174917014,fer21gie,0,497.5,G Justin Thomas G Russell Henley G Patrick Cantlay G Si Woo Kim G Jordan Spieth G Daniel Berger,,Matt Fitzpatrick,G,21.43%,121
13,5174345719,JRuppe,0,488,G Tommy Fleetwood G Xander Schauffele G Sahith Theegala G Adam Scott G Hideki Matsuyama G Ryan Gerard,,Jake Knapp,G,21.43%,79.5
14,5172922551,Mattyf0422,0,463,G Xander Schauffele G Ludvig Aberg G Aaron Rai G J.T. Poston G Benjamin James G Keith Mitchell,,Adam Scott,G,21.43%,63
,,,,,,,J.T. Poston,G,14.29%,74
,,,,,,,Chris Gotterup,G,14.29%,89.5
,,,,,,,Harris English,G,14.29%,78
,,,,,,,Hideki Matsuyama,G,14.29%,104
,,,,,,,Patrick Cantlay,G,14.29%,89
,,,,,,,Kurt Kitayama,G,7.14%,100.5
,,,,,,,Ben Griffin,G,7.14%,100
,,,,,,,Benjamin James,G,7.14%,69
,,,,,,,Collin Morikawa,G,7.14%,124
,,,,,,,Akshay Bhatia,G,7.14%,115
,,,,,,,Nicolai Hojgaard,G,7.14%,96
,,,,,,,Robert MacIntyre,G,7.14%,109
,,,,,,,Tommy Fleetwood,G,7.14%,90.5
,,,,,,,Ryan Gerard,G,7.14%,77.5
,,,,,,,Brian Harman,G,7.14%,102.5
,,,,,,,Alex Smalley,G,7.14%,78.5
,,,,,,,Eric Cole,G,7.14%,82
,,,,,,,Kristoffer Reitan,G,7.14%,91.5
,,,,,,,Russell Henley,G,7.14%,92
,,,,,,,Jordan Spieth,G,7.14%,57
,,,,,,,Daniel Berger,G,7.14%,84
,,,,,,,Wyndham Clark,G,7.14%,112
,,,,,,,Scottie Scheffler,G,7.14%,128.5
,,,,,,,Ryo Hisatsune,G,7.14%,76.5
,,,,,,,Ryan Fox,G,7.14%,65
,,,,,,,Tony Finau,G,7.14%,77
