Rank,EntryId,EntryName,TimeRemaining,Points,Lineup,,Player,Roster Position,%Drafted,FPTS
1,5134076567,Johns59,0,519.5,G Rory McIlroy G Cameron Young G Min Woo Lee G Kristoffer Reitan G Alex Fitzpatrick G Lucas Glover,,Xander Schauffele,G,40.00%,54
2,5134302964,fer21gie,0,510.5,G Cameron Young G Ludvig Aberg G Jordan Spieth G Justin Thomas G Gary Woodland G Kristoffer Reitan,,Alex Smalley,G,33.33%,74.5
3,5134225508,oneputtralphie,0,502.5,G Matt Fitzpatrick G Adam Scott G J.J. Spaun G Nicolai Hojgaard G Alex Smalley G Alex Fitzpatrick,,Cameron Young,G,33.33%,82
4,5134248133,mtlomax,0,476.5,G Matt Fitzpatrick G Tommy Fleetwood G Adam Scott G Jacob Bridgeman G Matthew McCarty G Alex Fitzpatrick,,Matt Fitzpatrick,G,33.33%,57.5
5,5132733251,mkpoe,0,459.5,G Ludvig Aberg G Chris Gotterup G Viktor Hovland G Sepp Straka G Nicolai Hojgaard G Sahith Theegala,,Rory McIlroy,G,26.67%,71.5
6,5131784277,miller1017,0,432.5,G Cameron Young G Matt Fitzpatrick G Sepp Straka G Jacob Bridgeman G Alex Smalley G Alex Fitzpatrick,,Alex Fitzpatrick,G,26.67%,98
6,5132393417,leonardslossers,0,432.5,G Cameron Young G Chris Gotterup G Sepp Straka G Kurt Kitayama G Akshay Bhatia G Alex Smalley,,Nicolai Hojgaard,G,26.67%,107.5
8,5134562475,Jason.Elliott,0,430.5,G Rory McIlroy G Xander Schauffele G Ben Griffin G Kristoffer Reitan G Sudarshan Yellamaraju G Jhonattan Vegas,,Sahith Theegala,G,26.67%,54.5
9,5132656098,slewis0060,0,429.5,G Rory McIlroy G Kurt Kitayama G Justin Rose G Akshay Bhatia G Justin Thomas G Keegan Bradley,,Adam Scott,G,26.67%,74.5
10,5132122317,btweed1683,0,422,G Xander Schauffele G Tommy Fleetwood G Ben Griffin G Nicolai Hojgaard G Sahith Theegala G Michael Kim,,Sepp Straka,G,20.00%,56
11,5133962033,budman4423,0,417,G Matt Fitzpatrick G Adam Scott G Chris Gotterup G Justin Rose G Alex Smalley G Alex Noren,,Chris Gotterup,G,20.00%,85
12,5134020740,Werm-1,0,405,G Cameron Young G Xander Schauffele G Nicolai Hojgaard G Ryan Gerard G Sam Stevens G Daniel Berger,,Ludvig Aberg,G,20.00%,85
13,5131740255,Mattyf0422,0,385,G Rory McIlroy G Xander Schauffele G Alex Smalley G Alex Noren G Max Homa G Lucas Glover,,Kristoffer Reitan,G,20.00%,124
14,5132466619,Derek05,0,382.5,G Xander Schauffele G Matt Fitzpatrick G Ludvig Aberg G Sahith Theegala G Sudarshan Yellamaraju G Ricky Castillo,,Alex Noren,G,13.33%,66.5
15,5133442266,JRuppe,0,342,G Xander Schauffele G Adam Scott G Hideki Matsuyama G Ryan Gerard G Sahith Theegala G Corey Conners,,Lucas Glover,G,13.33%,65
,,,,,,,Jacob Bridgeman,G,13.33%,64.5
,,,,,,,Tommy Fleetwood,G,13.33%,95
,,,,,,,Ben Griffin,G,13.33%,49.5
,,,,,,,Kurt Kitayama,G,13.33%,73.5
,,,,,,,Akshay Bhatia,G,13.33%,61.5
,,,,,,,Sudarshan Yellamaraju,G,13.33%,69.5
,,,,,,,Justin Rose,G,13.33%,59
,,,,,,,Justin Thomas,G,13.33%,80
,,,,,,,Ryan Gerard,G,13.33%,48.5
,,,,,,,Max Homa,G,6.67%,53.5
,,,,,,,Michael Kim,G,6.67%,61.5
,,,,,,,Ricky Castillo,G,6.67%,62
,,,,,,,Keegan Bradley,G,6.67%,84
,,,,,,,Viktor Hovland,G,6.67%,71.5
,,,,,,,Hideki Matsuyama,G,6.67%,45
,,,,,,,Corey Conners,G,6.67%,65.5
,,,,,,,Sam Stevens,G,6.67%,52
,,,,,,,Daniel Berger,G,6.67%,61
,,,,,,,Min Woo Lee,G,6.67%,79
,,,,,,,J.J. Spaun,G,6.67%,90.5
,,,,,,,Matthew McCarty,G,6.67%,87
,,,,,,,Jordan Spieth,G,6.67%,63.5
,,,,,,,Gary Woodland,G,6.67%,76
,,,,,,,Jhonattan Vegas,G,6.67%,62
