Rank,EntryId,EntryName,TimeRemaining,Points,Lineup,,Player,Roster Position,%Drafted,FPTS
1,5167893298,fertown,0,363.5,G Xander Schauffele G Tommy Fleetwood G Tyrrell Hatton G Wyndham Clark G Shane Lowry G Alex Fitzpatrick,,Matt Fitzpatrick,G,38.89%,51
2,5167370813,miller1017,0,351.5,G Ludvig Aberg G Matt Fitzpatrick G Tyrrell Hatton G Collin Morikawa G Wyndham Clark G Min Woo Lee,,Cameron Young,G,33.33%,43
3,5167753012,trentdehate,0,314.5,G Tommy Fleetwood G Ludvig Aberg G Matt Fitzpatrick G Patrick Reed G Sam Burns G Alex Fitzpatrick,,Tommy Fleetwood,G,33.33%,62
4,5169400458,Derek05,0,296,G Xander Schauffele G Matt Fitzpatrick G Russell Henley G Patrick Reed G Wyndham Clark G Patrick Cantlay,,Hideki Matsuyama,G,33.33%,33
5,5168233344,JRuppe,0,294,G Xander Schauffele G Tommy Fleetwood G Chris Gotterup G Sam Burns G Hideki Matsuyama G Harris English,,Patrick Reed,G,33.33%,22.5
6,5167290673,btweed1683,0,293,G Cameron Young G Tommy Fleetwood G Viktor Hovland G Sam Burns G Hideki Matsuyama G Sahith Theegala,,Sam Burns,G,27.78%,77
7,5168520630,Freeannyong,0,291.5,G Xander Schauffele G Ludvig Aberg G Tyrrell Hatton G Chris Gotterup G Sepp Straka G Keegan Bradley,,Si Woo Kim,G,22.22%,25
8,5169608156,slewis0060,0,275.5,G Scottie Scheffler G Wyndham Clark G Shane Lowry G Cameron Smith G Adam Scott G Kurt Kitayama,,Cameron Smith,G,22.22%,21
9,5166991853,Mattyf0422,0,267.5,G Cameron Young G Tommy Fleetwood G Russell Henley G Sam Burns G Si Woo Kim G Cameron Smith,,Tyrrell Hatton,G,22.22%,69.5
10,5168410318,Werm-1,0,263,G Rory McIlroy G Cameron Young G Hideki Matsuyama G Rickie Fowler G Jacob Bridgeman G Jackson Koivun,,Wyndham Clark,G,22.22%,102
11,5169507035,trmcmaha,0,260,G Jon Rahm G Justin Rose G Justin Thomas G Patrick Reed G Jordan Spieth G Sahith Theegala,,Xander Schauffele,G,22.22%,60.5
12,5168351025,mkpoe,0,256,G Rory McIlroy G Russell Henley G Sam Burns G Hideki Matsuyama G Si Woo Kim G Cameron Smith,,Patrick Cantlay,G,22.22%,20.5
12,5169388426,fer21gie,0,256,G Scottie Scheffler G J.J. Spaun G Patrick Cantlay G Cameron Smith G Aaron Rai G Dustin Johnson,,Russell Henley,G,16.67%,39.5
14,5168895713,budman4423,0,250.5,G Jon Rahm G Matt Fitzpatrick G Tyrrell Hatton G Hideki Matsuyama G Min Woo Lee G Sahith Theegala,,Sahith Theegala,G,16.67%,57
15,5169399545,oneputtralphie,0,238.5,G Cameron Young G Matt Fitzpatrick G Justin Rose G Patrick Cantlay G Si Woo Kim G Jordan Spieth,,Ludvig Aberg,G,16.67%,51.5
16,5167638833,leonardslossers,0,220.5,G Cameron Young G Matt Fitzpatrick G Justin Thomas G Patrick Reed G Si Woo Kim G Ryan Gerard,,Chris Gotterup,G,16.67%,45
17,5168903735,bryans812,0,215,G Tommy Fleetwood G Brooks Koepka G Collin Morikawa G Patrick Reed G Patrick Cantlay G Jordan Spieth,,Jordan Spieth,G,16.67%,37.5
18,5167789926,Johns59,0,211,G Cameron Young G Matt Fitzpatrick G Chris Gotterup G Patrick Reed G Hideki Matsuyama G Jake Knapp,,Collin Morikawa,G,11.11%,57.5
,,,,,,,Min Woo Lee,G,11.11%,20
,,,,,,,Justin Thomas,G,11.11%,61.5
,,,,,,,Alex Fitzpatrick,G,11.11%,50.5
,,,,,,,Shane Lowry,G,11.11%,19
,,,,,,,Rory McIlroy,G,11.11%,60.5
,,,,,,,Jon Rahm,G,11.11%,20
,,,,,,,Scottie Scheffler,G,11.11%,75
,,,,,,,Justin Rose,G,11.11%,61.5
,,,,,,,Viktor Hovland,G,5.56%,21
,,,,,,,Ryan Gerard,G,5.56%,17.5
,,,,,,,Jake Knapp,G,5.56%,16.5
,,,,,,,Harris English,G,5.56%,16.5
,,,,,,,Rickie Fowler,G,5.56%,21
,,,,,,,Jacob Bridgeman,G,5.56%,48.5
,,,,,,,Jackson Koivun,G,5.56%,57
,,,,,,,Sepp Straka,G,5.56%,22.5
,,,,,,,Keegan Bradley,G,5.56%,42.5
,,,,,,,Brooks Koepka,G,5.56%,15
,,,,,,,J.J. Spaun,G,5.56%,19
,,,,,,,Aaron Rai,G,5.56%,56.5
,,,,,,,Dustin Johnson,G,5.56%,64
,,,,,,,Adam Scott,G,5.56%,16.5
,,,,,,,Kurt Kitayama,G,5.56%,42
