Rank,EntryId,EntryName,TimeRemaining,Points,Lineup,,Player,Roster Position,%Drafted,FPTS
1,5091737619,fertown,0,379,G Viktor Hovland G Corey Conners G Ryo Hisatsune G Pierceson Coody G Tony Finau G Tom Kim,,Sahith Theegala,G,50.00%,16
2,5090122384,miller1017,0,361,G Matt Fitzpatrick G Jacob Bridgeman G Ryo Hisatsune G Patrick Rodgers G Austin Smotherman G Zac Blair,,Ryo Hisatsune,G,50.00%,66.5
3,5091685584,oneputtralphie,0,356,G Xander Schauffele G Brooks Koepka G Wyndham Clark G Marco Penge G Lucas Glover G Billy Horschel,,Jacob Bridgeman,G,50.00%,71.5
4,5091430567,Derek05,0,349,G Jordan Spieth G Brooks Koepka G Corey Conners G Sahith Theegala G Tom Kim G Adam Hadwin,,Corey Conners,G,38.89%,80.5
5,5090915600,leonardslossers,0,346.5,G Matt Fitzpatrick G Jacob Bridgeman G Ricky Castillo G Patrick Rodgers G Taylor Moore G Austin Smotherman,,Austin Smotherman,G,38.89%,23
6,5090518987,btweed1683,0,345,G Jacob Bridgeman G Justin Thomas G Ryo Hisatsune G Bud Cauley G Austin Smotherman G Stephan Jaeger,,Patrick Rodgers,G,33.33%,63
7,5091992078,Johns59,0,331,G Jacob Bridgeman G Sahith Theegala G Ryo Hisatsune G Ricky Castillo G Patrick Rodgers G John Parry,,Nicolai Hojgaard,G,33.33%,54.5
8,5091306471,slewis0060,0,324,G Brooks Koepka G Nicolai Hojgaard G Sahith Theegala G Ryo Hisatsune G John Parry G Matti Schmid,,Ricky Castillo,G,22.22%,61
9,5091205306,bryans812,0,317.5,G Jacob Bridgeman G Nicolai Hojgaard G Sahith Theegala G Ryo Hisatsune G Taylor Moore G David Lipsky,,Taylor Moore,G,22.22%,14.5
10,5092122780,Jason.Elliott,0,315.5,G Jacob Bridgeman G Brooks Koepka G Corey Conners G Max Homa G Austin Smotherman G Chad Ramey,,Brooks Koepka,G,22.22%,74.5
11,5090305066,Mattyf0422,0,305.5,G Corey Conners G Nicolai Hojgaard G Sahith Theegala G Ryo Hisatsune G Austin Smotherman G Blades Brown,,Nick Taylor,G,16.67%,23
12,5091866028,budman4423,0,288,G Justin Thomas G Corey Conners G Sahith Theegala G Patrick Rodgers G Bud Cauley G Austin Smotherman,,Max Homa,G,16.67%,11.5
12,5091896993,Werm-1,0,288,G Jacob Bridgeman G Nicolai Hojgaard G Nick Taylor G Matthew McCarty G Christiaan Bezuidenhout G Patrick Rodgers,,Bud Cauley,G,16.67%,43
14,5090205445,mtlomax,0,287.5,G Jacob Bridgeman G Nicolai Hojgaard G Nick Taylor G Ricky Castillo G Patrick Rodgers G Taylor Moore,,John Parry,G,16.67%,53
15,5091967847,jdab29,0,270.5,G Jacob Bridgeman G Nicolai Hojgaard G Sahith Theegala G Ricky Castillo G Taylor Moore G John Parry,,Billy Horschel,G,11.11%,54
16,5090079824,JRuppe,0,251.5,G Corey Conners G Sahith Theegala G Ryo Hisatsune G Nick Taylor G Max Homa G Billy Horschel,,Matt Fitzpatrick,G,11.11%,113.5
17,5090749648,mkpoe,0,238.5,G Corey Conners G Sahith Theegala G Keegan Bradley G Wyndham Clark G Max Homa G Bud Cauley,,Justin Thomas,G,11.11%,62.5
18,5091359357,L-J_Ruppe,0,236.5,G Viktor Hovland G Ryo Hisatsune G Rasmus Hojgaard G Matthew McCarty G Pierceson Coody G Austin Smotherman,,Wyndham Clark,G,11.11%,28
,,,,,,,Viktor Hovland,G,11.11%,24.5
,,,,,,,Matthew McCarty,G,11.11%,14
,,,,,,,Pierceson Coody,G,11.11%,58.5
,,,,,,,Tom Kim,G,11.11%,81
,,,,,,,Zac Blair,G,5.56%,23.5
,,,,,,,Blades Brown,G,5.56%,65
,,,,,,,Stephan Jaeger,G,5.56%,78.5
,,,,,,,Keegan Bradley,G,5.56%,59.5
,,,,,,,David Lipsky,G,5.56%,94.5
,,,,,,,Matti Schmid,G,5.56%,59.5
,,,,,,,Rasmus Hojgaard,G,5.56%,50
,,,,,,,Jordan Spieth,G,5.56%,81
,,,,,,,Adam Hadwin,G,5.56%,16
,,,,,,,Xander Schauffele,G,5.56%,89
,,,,,,,Marco Penge,G,5.56%,91
,,,,,,,Lucas Glover,G,5.56%,19.5
,,,,,,,Tony Finau,G,5.56%,68
,,,,,,,Christiaan Bezuidenhout,G,5.56%,62
,,,,,,,Chad Ramey,G,5.56%,54.5
