Rank,EntryId,EntryName,TimeRemaining,Points,Lineup,,Player,Roster Position,%Drafted,FPTS
1,5208436184,mkpoe,0,477.5,G Jackson Koivun G Hideki Matsuyama G Keith Mitchell G Matt Wallace G Ryo Hisatsune G Sahith Theegala,,Ben Kohles,G,42.86%,72.5
2,5207727407,Mattyf0422,0,469.5,G Cameron Young G Aaron Rai G Davis Thompson G Sungjae Im G J.T. Poston G Billy Horschel,,Cameron Young,G,42.86%,69
3,5209757693,fer21gie,0,414,G Justin Thomas G Tom Kim G Mac Meissner G Doug Ghim G Blades Brown G Ben Kohles,,Blades Brown,G,35.71%,23.5
4,5208221455,JRuppe,0,406.5,G Cameron Young G Hideki Matsuyama G Sungjae Im G Ben Kohles G J.T. Poston G Ryo Hisatsune,,Jackson Koivun,G,35.71%,71.5
5,5209849623,oneputtralphie,0,403.5,G Cameron Young G Jackson Koivun G Christiaan Bezuidenhout G Benjamin James G Emiliano Grillo G Sepp Straka,,Ryan Gerard,G,28.57%,32
6,5207958977,leonardslossers,0,402.5,G Hideki Matsuyama G Ryan Gerard G Davis Thompson G Blades Brown G Ben Kohles G Michael Kim,,Ryo Hisatsune,G,28.57%,28.5
7,5209570031,budman4423,0,392.5,G Justin Thomas G Alex Fitzpatrick G Harris English G Brian Harman G Keith Mitchell G Christiaan Bezuidenhout,,Alex Fitzpatrick,G,21.43%,71
8,5208770189,Derek05,0,390,G Cameron Young G Jackson Koivun G Ben Kohles G Bud Cauley G Emiliano Grillo G Ricky Castillo,,Davis Thompson,G,21.43%,93.5
8,5209832481,Johns59,0,390,G Ryan Gerard G Tom Kim G Alex Fitzpatrick G Blades Brown G Ben Kohles G Sahith Theegala,,Hideki Matsuyama,G,21.43%,111
10,5207621363,miller1017,0,382,G Ryan Gerard G Alex Fitzpatrick G Davis Thompson G Doug Ghim G Blades Brown G Ben Kohles,,Keith Mitchell,G,21.43%,83.5
11,5209493369,Werm-1,0,362,G Jackson Koivun G Maverick McNealy G Brooks Koepka G Keith Mitchell G Sepp Straka G Zac Blair,,Doug Ghim,G,14.29%,89.5
12,5207973526,slewis0060,0,338,G Cameron Young G Jackson Koivun G Blades Brown G Ryo Hisatsune G Nick Taylor G Ricky Castillo,,Sungjae Im,G,14.29%,99
13,5207787275,btweed1683,0,309.5,G Cameron Young G Ryan Gerard G Mac Meissner G Rasmus H?jgaard G Michael Kim G Ryo Hisatsune,,J.T. Poston,G,14.29%,26.5
14,5208375525,mtlomax,0,0,,,Mac Meissner,G,14.29%,32.5
,,,,,,,Michael Kim,G,14.29%,70
,,,,,,,Ricky Castillo,G,14.29%,73.5
,,,,,,,Sahith Theegala,G,14.29%,86
,,,,,,,Emiliano Grillo,G,14.29%,37
,,,,,,,Sepp Straka,G,14.29%,25
,,,,,,,Justin Thomas,G,14.29%,91
,,,,,,,Christiaan Bezuidenhout,G,14.29%,73.5
,,,,,,,Tom Kim,G,14.29%,105
,,,,,,,Aaron Rai,G,7.14%,84
,,,,,,,Billy Horschel,G,7.14%,97.5
,,,,,,,Rasmus H?jgaard,G,7.14%,77.5
,,,,,,,Nick Taylor,G,7.14%,72
,,,,,,,Matt Wallace,G,7.14%,97
,,,,,,,Bud Cauley,G,7.14%,66.5
,,,,,,,Maverick McNealy,G,7.14%,88
,,,,,,,Brooks Koepka,G,7.14%,63.5
,,,,,,,Zac Blair,G,7.14%,30.5
,,,,,,,Harris English,G,7.14%,33.5
,,,,,,,Brian Harman,G,7.14%,40
,,,,,,,Benjamin James,G,7.14%,127.5
