Rank,EntryId,EntryName,TimeRemaining,Points,Lineup,,Player,Roster Position,%Drafted,FPTS
1,5120582121,leonardslossers,0,739.5,G Matt Fitzpatrick G Aaron Rai G Tom Kim G Christiaan Bezuidenhout G Eric Cole G Billy Horschel,,Ryan Gerard,G,44.44%,89.5
2,5121262709,fer21gie,0,692,G Ben Griffin G Marco Penge G Mac Meissner G Michael Brennan G Adrien Dumont De Chassart G Billy Horschel,,Sahith Theegala,G,44.44%,120
3,5121243807,Johns59,0,690,G Sahith Theegala G Taylor Moore G Kristoffer Reitan G Hayden Springer G David Lipsky G Chris Kirk,,David Lipsky,G,33.33%,107.5
3,5121493266,Jason.Elliott,0,690,G Matt Fitzpatrick G Ryan Gerard G Max McGreevy G Seamus Power G Andrew Putnam G Trace Crowe,,Billy Horschel,G,33.33%,146.5
5,5121337332,JRuppe,0,664,G Ryan Gerard G Sahith Theegala G Hayden Springer G Kevin Roy G Andrew Putnam G Billy Horschel,,Tony Finau,G,22.22%,48.5
6,5119392199,miller1017,0,615,G Ryan Gerard G Wyndham Clark G Sam Stevens G Tony Finau G David Lipsky G Christiaan Bezuidenhout,,Christiaan Bezuidenhout,G,22.22%,123.5
7,5121225177,oneputtralphie,0,603,G Ryan Gerard G Aaron Rai G Keith Mitchell G Matti Schmid G David Lipsky G Austin Smotherman,,Michael Brennan,G,22.22%,58
8,5121263526,Derek05,0,559,G Brooks Koepka G Sudarshan Yellamaraju G Sahith Theegala G Keith Mitchell G Trace Crowe G Taylor Montgomery,,Austin Smotherman,G,22.22%,45
9,5119415076,btweed1683,0,458,G Andrew Novak G Sahith Theegala G Michael Brennan G Tony Finau G Stephan Jaeger G Austin Smotherman,,Matt Fitzpatrick,G,22.22%,168.5
,,,,,,,Aaron Rai,G,22.22%,120
,,,,,,,Keith Mitchell,G,22.22%,106.5
,,,,,,,Hayden Springer,G,22.22%,153
,,,,,,,Trace Crowe,G,22.22%,142.5
,,,,,,,Andrew Putnam,G,22.22%,45
,,,,,,,Wyndham Clark,G,11.11%,118
,,,,,,,Sam Stevens,G,11.11%,128
,,,,,,,Andrew Novak,G,11.11%,133
,,,,,,,Stephan Jaeger,G,11.11%,53.5
,,,,,,,Tom Kim,G,11.11%,39
,,,,,,,Eric Cole,G,11.11%,142
,,,,,,,Matti Schmid,G,11.11%,134.5
,,,,,,,Taylor Moore,G,11.11%,118
,,,,,,,Kristoffer Reitan,G,11.11%,156
,,,,,,,Chris Kirk,G,11.11%,35.5
,,,,,,,Ben Griffin,G,11.11%,133
,,,,,,,Marco Penge,G,11.11%,106
,,,,,,,Mac Meissner,G,11.11%,126.5
,,,,,,,Adrien Dumont De Chassart,G,11.11%,122
,,,,,,,Brooks Koepka,G,11.11%,51.5
,,,,,,,Sudarshan Yellamaraju,G,11.11%,89.5
,,,,,,,Taylor Montgomery,G,11.11%,49
,,,,,,,Kevin Roy,G,11.11%,110
,,,,,,,Max McGreevy,G,11.11%,110
,,,,,,,Seamus Power,G,11.11%,134.5
